,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,DOI,rxn_type,temperature_degC,time_h,atmosphere,scale_mol,concentration_moll,stmat_1_smiles,SMILES,stmat_1_eq,reagent_1_smiles,reagent_1_eq,reagent_2_smiles,reagent_2_eq,reagent_3_smiles,reagent_3_eq,reagent_4_smiles,reagent_4_eq,catalyst_1_smiles,catalyst_1_eq,catalyst_2_smiles,catalyst_2_eq,ligand_1_smiles,ligand_1_eq,ligand_2_smiles,ligand_2_eq,additive_1_smiles,additive_1_eq,solvent_1_smiles,solvent_1_fraction,solvent_2_smiles,solvent_2_fraction,product_1_smiles,product_1_yield,product_1_yieldtype,product_2_smiles,product_2_yield,product_2_yieldtype,rxn_combo,rxn_ID,Reactant_SMILES,Product_SMILES,Yield (%),Selectivity (%),Reactant_mapped,Product_mapped,Symmetry,Symmetry_groups,Group_idxes,Unique symmetry,Mapped_rxn,Mapped_reactivity,idx_to_rxn_map,idx_to_selectivity
0,0,0.0,0.0,10.1021/ja412563e,borylation,25.0,26.0,ar,0.00025,0.5,Cc1nc2ccccc2o1,Cc1nc2ccccc2o1,1.0,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1.0,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.0025,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.005,,,,,O1CCCC1,1.0,,,Cc1nc2cccc(B3OC(C)(C)C(C)(C)O3)c2o1,0.43,1H-NMR,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",0,Cc1nc2ccccc2o1,Bc1cccc2nc(C)oc12,43,43.0,[cH:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8]([CH3:9])[o:10][c:11]12,[BH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8]([CH3:9])[o:10][c:11]12,False,"{0: 0, 1: 1, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}","{0: [0], 1: [1], 3: [3], 4: [4], 5: [5], 6: [6], 7: [7], 8: [8]}","{0: 0, 1: 1, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}",[cH:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8]([CH3:9])[o:10][c:11]12>>[BH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8]([CH3:9])[o:10][c:11]12,"{2: True, 3: False, 4: False, 5: False, 6: False, 8: False, 9: False, 11: False}","{0: 9, 1: 8, 3: 6, 4: 5, 5: 4, 6: 3, 7: 2, 8: 11}","{0: 0.0, 1: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 43.0, 8: 0.0}"
1,1,1.0,1.0,10.1021/ja412563e,borylation,25.0,22.0,ar,0.00025,0.5,Cc1nc2cc(Br)ccc2o1,Cc1nc2cc(Br)ccc2o1,1.0,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0.75,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.0025,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.005,,,,,O1CCCC1,1.0,,,Cc1nc2cc(Br)cc(B3OC(C)(C)C(C)(C)O3)c2o1,0.85,1H-NMR,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",1,Cc1nc2cc(Br)ccc2o1,Bc1cc(Br)cc2nc(C)oc12,85,85.0,[cH:2]1[cH:3][c:4]([Br:5])[cH:6][c:7]2[n:8][c:9]([CH3:10])[o:11][c:12]12,[BH2:1][c:2]1[cH:3][c:4]([Br:5])[cH:6][c:7]2[n:8][c:9]([CH3:10])[o:11][c:12]12,False,"{0: 0, 1: 1, 3: 3, 4: 4, 5: 5, 7: 7, 8: 8, 9: 9}","{0: [0], 1: [1], 3: [3], 4: [4], 5: [5], 7: [7], 8: [8], 9: [9]}","{0: 0, 1: 1, 3: 3, 4: 4, 5: 5, 7: 7, 8: 8, 9: 9}",[cH:2]1[cH:3][c:4]([Br:5])[cH:6][c:7]2[n:8][c:9]([CH3:10])[o:11][c:12]12>>[BH2:1][c:2]1[cH:3][c:4]([Br:5])[cH:6][c:7]2[n:8][c:9]([CH3:10])[o:11][c:12]12,"{2: True, 3: False, 4: False, 6: False, 7: False, 9: False, 10: False, 12: False}","{0: 10, 1: 9, 3: 7, 4: 6, 5: 4, 7: 3, 8: 2, 9: 12}","{0: 0.0, 1: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 7: 0.0, 8: 85.0, 9: 0.0}"
2,2,2.0,2.0,10.1021/ja412563e,borylation,80.0,48.0,ar,0.00025,0.5,Cc1nc2ccccc2[nH]1,Cc1nc2ccccc2[nH]1,1.0,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1.5,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.005,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.01,,,,,O1CCCC1,1.0,,,Cc1nc2ccc(B3OC(C)(C)C(C)(C)O3)cc2[nH]1,0.27,1H-NMR,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",2,Cc1nc2ccccc2[nH]1,Bc1ccc2nc(C)[nH]c2c1,27,27.0,[cH:2]1[cH:3][cH:4][c:5]2[n:6][c:7]([CH3:8])[nH:9][c:10]2[cH:11]1,[BH2:1][c:2]1[cH:3][cH:4][c:5]2[n:6][c:7]([CH3:8])[nH:9][c:10]2[cH:11]1,False,"{0: 0, 1: 1, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}","{0: [0], 1: [1], 3: [3], 4: [4], 5: [5], 6: [6], 7: [7], 8: [8]}","{0: 0, 1: 1, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}",[cH:2]1[cH:3][cH:4][c:5]2[n:6][c:7]([CH3:8])[nH:9][c:10]2[cH:11]1>>[BH2:1][c:2]1[cH:3][cH:4][c:5]2[n:6][c:7]([CH3:8])[nH:9][c:10]2[cH:11]1,"{2: True, 3: False, 4: False, 5: False, 7: False, 8: False, 10: False, 11: False}","{0: 8, 1: 7, 3: 5, 4: 4, 5: 3, 6: 2, 7: 11, 8: 10}","{0: 0.0, 1: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 27.0, 7: 0.0, 8: 0.0}"
3,3,3.0,3.0,10.1021/ja412563e,borylation,80.0,19.0,ar,0.00025,0.5,Cc1cc2c(Cl)ccnc2[nH]1,Cc1cc2c(Cl)ccnc2[nH]1,1.0,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1.5,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.01,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.02,,,,,O1CCCC1,1.0,,,Cc1cc2c(Cl)c(B3OC(C)(C)C(C)(C)O3)cnc2[nH]1,0.27,1H-NMR,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",3,Cc1cc2c(Cl)ccnc2[nH]1,Bc1cnc2[nH]c(C)cc2c1Cl,27,27.0,[cH:2]1[cH:3][n:4][c:5]2[nH:6][c:7]([CH3:8])[cH:9][c:10]2[c:11]1[Cl:12],[BH2:1][c:2]1[cH:3][n:4][c:5]2[nH:6][c:7]([CH3:8])[cH:9][c:10]2[c:11]1[Cl:12],False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 6: 6, 7: 7, 9: 9}","{0: [0], 1: [1], 2: [2], 3: [3], 4: [4], 6: [6], 7: [7], 9: [9]}","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 6: 6, 7: 7, 9: 9}",[cH:2]1[cH:3][n:4][c:5]2[nH:6][c:7]([CH3:8])[cH:9][c:10]2[c:11]1[Cl:12]>>[BH2:1][c:2]1[cH:3][n:4][c:5]2[nH:6][c:7]([CH3:8])[cH:9][c:10]2[c:11]1[Cl:12],"{2: True, 3: False, 5: False, 7: False, 8: False, 9: False, 10: False, 11: False}","{0: 8, 1: 7, 2: 9, 3: 10, 4: 11, 6: 2, 7: 3, 9: 5}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 6: 27.0, 7: 0.0, 9: 0.0}"
4,4,4.0,4.0,10.1021/ja0631652,borylation,60.0,2.5,n2,0.0005,0.166667,CCN(CC)C(=O)c1cc2ccccc2[nH]1,CCN(CC)C(=O)c1cc2ccccc2[nH]1,1.0,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1.0,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.015,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,CCCCCC,1.0,,,CCN(CC)C(=O)c1cc2cccc(B3OC(C)(C)C(C)(C)O3)c2[nH]1,0.9,Isolated,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",4,CCN(CC)C(=O)c1cc2ccccc2[nH]1,Bc1cccc2cc(C(=O)N(CC)CC)[nH]c12,90,90.0,[cH:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][c:8]([C:9](=[O:10])[N:11]([CH2:12][CH3:13])[CH2:14][CH3:15])[nH:16][c:17]12,[BH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][c:8]([C:9](=[O:10])[N:11]([CH2:12][CH3:13])[CH2:14][CH3:15])[nH:16][c:17]12,True,"{0: 0, 1: 8, 3: 8, 4: 0, 5: 11, 7: 12, 8: 6, 9: 13, 10: 5, 11: 3, 12: 4, 13: 7, 14: 14}","{0: [0, 4], 8: [1, 3], 11: [5], 12: [7], 6: [8], 13: [9], 5: [10], 3: [11], 4: [12], 7: [13], 14: [14]}","{0: 2, 1: 2, 5: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1, 13: 1, 14: 1}",[cH:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][c:8]([C:9](=[O:10])[N:11]([CH2:12][CH3:13])[CH2:14][CH3:15])[nH:16][c:17]12>>[BH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][c:8]([C:9](=[O:10])[N:11]([CH2:12][CH3:13])[CH2:14][CH3:15])[nH:16][c:17]12,"{2: True, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 12: False, 13: False, 14: False, 15: False, 17: False}","{0: 13, 1: 12, 3: 14, 4: 15, 5: 9, 7: 8, 8: 7, 9: 6, 10: 5, 11: 4, 12: 3, 13: 2, 14: 17}","{0: 0.0, 1: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 90.0, 14: 0.0}"
5,5,5.0,5.0,10.1021/ja0631652,borylation,60.0,18.0,n2,0.001,0.333333,CCOC(=O)c1c(C)[nH]c2ccccc12,CCOC(=O)c1c(C)[nH]c2ccccc12,1.0,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1.0,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.015,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,CCCCCC,1.0,,,CCOC(=O)c1c(C)[nH]c2c(B3OC(C)(C)C(C)(C)O3)cccc12,0.64,Isolated,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",5,CCOC(=O)c1c(C)[nH]c2ccccc12,Bc1cccc2c(C(=O)OCC)c(C)[nH]c12,64,64.0,[cH:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]([C:8](=[O:9])[O:10][CH2:11][CH3:12])[c:13]([CH3:14])[nH:15][c:16]12,[BH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]([C:8](=[O:9])[O:10][CH2:11][CH3:12])[c:13]([CH3:14])[nH:15][c:16]12,False,"{0: 0, 1: 1, 3: 3, 5: 5, 6: 6, 7: 7, 9: 9, 10: 10, 11: 11, 12: 12, 13: 13, 14: 14}","{0: [0], 1: [1], 3: [3], 5: [5], 6: [6], 7: [7], 9: [9], 10: [10], 11: [11], 12: [12], 13: [13], 14: [14]}","{0: 0, 1: 1, 3: 3, 5: 5, 6: 6, 7: 7, 9: 9, 10: 10, 11: 11, 12: 12, 13: 13, 14: 14}",[cH:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]([C:8](=[O:9])[O:10][CH2:11][CH3:12])[c:13]([CH3:14])[nH:15][c:16]12>>[BH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]([C:8](=[O:9])[O:10][CH2:11][CH3:12])[c:13]([CH3:14])[nH:15][c:16]12,"{2: True, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 11: False, 12: False, 13: False, 14: False, 16: False}","{0: 12, 1: 11, 3: 8, 5: 7, 6: 13, 7: 14, 9: 16, 10: 2, 11: 3, 12: 4, 13: 5, 14: 6}","{0: 0.0, 1: 0.0, 3: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 9: 0.0, 10: 64.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0}"
6,6,6.0,6.0,10.1021/jacs.6b13346,borylation,50.0,24.0,n2,0.0005,0.5,CCOC(=O)c1cccc(F)c1,CCOC(=O)c1cccc(F)c1,1.0,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0.75,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.001,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.002,,,,,O1CCCC1,1.0,,,CCOC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)c(F)c1,0.64,19F-NMR,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",6,CCOC(=O)c1cccc(F)c1,Bc1ccc(C(=O)OCC)cc1F,64,64.0,[cH:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[O:8][CH2:9][CH3:10])[cH:11][c:12]1[F:13],[BH2:1][c:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[O:8][CH2:9][CH3:10])[cH:11][c:12]1[F:13],False,"{0: 0, 1: 1, 3: 3, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 11: 11}","{0: [0], 1: [1], 3: [3], 5: [5], 6: [6], 7: [7], 8: [8], 9: [9], 11: [11]}","{0: 0, 1: 1, 3: 3, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 11: 11}",[cH:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[O:8][CH2:9][CH3:10])[cH:11][c:12]1[F:13]>>[BH2:1][c:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[O:8][CH2:9][CH3:10])[cH:11][c:12]1[F:13],"{2: True, 3: False, 4: False, 5: False, 6: False, 9: False, 10: False, 11: False, 12: False}","{0: 10, 1: 9, 3: 6, 5: 5, 6: 4, 7: 3, 8: 2, 9: 12, 11: 11}","{0: 0.0, 1: 0.0, 3: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 64.0, 9: 0.0, 11: 0.0}"
7,7,7.0,7.0,10.1021/jacs.6b13346,borylation,50.0,24.0,n2,0.0005,0.5,Fc1cccc(C(F)(F)F)c1,Fc1cccc(C(F)(F)F)c1,1.0,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0.75,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.001,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.002,,,,,O1CCCC1,1.0,,,CC1(C)OB(c2ccc(C(F)(F)F)cc2F)OC1(C)C,0.99,19F-NMR,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",7,Fc1cccc(C(F)(F)F)c1,Bc1ccc(C(F)(F)F)cc1F,99,99.0,[cH:2]1[cH:3][cH:4][c:5]([C:6]([F:7])([F:8])[F:9])[cH:10][c:11]1[F:12],[BH2:1][c:2]1[cH:3][cH:4][c:5]([C:6]([F:7])([F:8])[F:9])[cH:10][c:11]1[F:12],True,"{1: 8, 2: 5, 3: 4, 4: 6, 5: 9, 6: 10, 10: 7}","{8: [1], 5: [2], 4: [3], 6: [4], 9: [5], 10: [6], 7: [10]}","{1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 10: 1}",[cH:2]1[cH:3][cH:4][c:5]([C:6]([F:7])([F:8])[F:9])[cH:10][c:11]1[F:12]>>[BH2:1][c:2]1[cH:3][cH:4][c:5]([C:6]([F:7])([F:8])[F:9])[cH:10][c:11]1[F:12],"{2: True, 3: False, 4: False, 5: False, 6: False, 10: False, 11: False}","{1: 11, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 10: 10}","{1: 0.0, 2: 99.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 10: 0.0}"
8,8,8.0,8.0,10.1021/jacs.6b13346,borylation,50.0,24.0,n2,0.0005,0.5,CN(C)S(=O)(=O)c1cccc(F)c1,CN(C)S(=O)(=O)c1cccc(F)c1,1.0,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0.75,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.001,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.002,,,,,O1CCCC1,1.0,,,CN(C)S(=O)(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)c(F)c1,0.99,19F-NMR,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",8,CN(C)S(=O)(=O)c1cccc(F)c1,Bc1ccc(S(=O)(=O)N(C)C)cc1F,99,99.0,[cH:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[N:9]([CH3:10])[CH3:11])[cH:12][c:13]1[F:14],[BH2:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[N:9]([CH3:10])[CH3:11])[cH:12][c:13]1[F:14],True,"{0: 0, 2: 0, 6: 10, 7: 7, 8: 5, 9: 6, 10: 9, 12: 8}","{0: [0, 2], 10: [6], 7: [7], 5: [8], 6: [9], 9: [10], 8: [12]}","{0: 2, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 12: 1}",[cH:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[N:9]([CH3:10])[CH3:11])[cH:12][c:13]1[F:14]>>[BH2:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[N:9]([CH3:10])[CH3:11])[cH:12][c:13]1[F:14],"{2: True, 3: False, 4: False, 5: False, 10: False, 11: False, 12: False, 13: False}","{0: 10, 2: 11, 6: 5, 7: 4, 8: 3, 9: 2, 10: 13, 12: 12}","{0: 0.0, 2: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 99.0, 10: 0.0, 12: 0.0}"
9,9,9.0,9.0,10.1021/jacs.6b13346,borylation,50.0,24.0,n2,0.00028,0.56,CCN(CC)C(=O)c1cccc(F)c1,CCN(CC)C(=O)c1cccc(F)c1,1.0,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1.0,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.025,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.05,,,,,O1CCCC1,1.0,,,CCN(CC)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)c(F)c1,0.94,19F-NMR,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",9,CCN(CC)C(=O)c1cccc(F)c1,Bc1ccc(C(=O)N(CC)CC)cc1F,94,94.0,[cH:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[N:8]([CH2:9][CH3:10])[CH2:11][CH3:12])[cH:13][c:14]1[F:15],[BH2:1][c:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[N:8]([CH2:9][CH3:10])[CH2:11][CH3:12])[cH:13][c:14]1[F:15],True,"{0: 0, 1: 8, 3: 8, 4: 0, 5: 10, 7: 12, 8: 6, 9: 4, 10: 5, 11: 11, 13: 7}","{0: [0, 4], 8: [1, 3], 10: [5], 12: [7], 6: [8], 4: [9], 5: [10], 11: [11], 7: [13]}","{0: 2, 1: 2, 5: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 13: 1}",[cH:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[N:8]([CH2:9][CH3:10])[CH2:11][CH3:12])[cH:13][c:14]1[F:15]>>[BH2:1][c:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[N:8]([CH2:9][CH3:10])[CH2:11][CH3:12])[cH:13][c:14]1[F:15],"{2: True, 3: False, 4: False, 5: False, 6: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False}","{0: 10, 1: 9, 3: 11, 4: 12, 5: 6, 7: 5, 8: 4, 9: 3, 10: 2, 11: 14, 13: 13}","{0: 0.0, 1: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 94.0, 11: 0.0, 13: 0.0}"
