,Reactant_SMILES,Selectivity_Reduced
27,O=C(c1ccccc1)N1CCCCC1,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 42.857142857142854, 5: 57.142857142857146, 9: 0.0, 10: 0.0, 11: 0.0}"
28,O=C(c1ccccc1Br)N1CCOCC1,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 40.0, 5: 60.0, 6: 0.0, 7: 0.0, 10: 0.0, 11: 0.0}"
29,O=C(c1ccccc1)N1CCCCCC1,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 52.54237288135593, 5: 47.45762711864407, 9: 0.0, 10: 0.0, 11: 0.0}"
30,CCCCCCN(CCCCCC)C(=O)c1cccc(F)c1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 13: 0.0, 15: 0.0, 16: 0.0, 17: 50.0, 18: 50.0, 19: 0.0, 21: 0.0}"
31,CCCCCCN(CCCCCC)C(=O)c1cccc(Br)c1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 13: 0.0, 15: 0.0, 16: 0.0, 17: 100.0, 18: 0.0, 19: 0.0, 21: 0.0}"
32,CCCCCCN(CCCCCC)C(=O)c1cccc(-c2ccccc2)c1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 13: 0.0, 15: 0.0, 16: 0.0, 17: 100.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 26: 0.0}"
33,CCCCCCN(CCCCCC)C(=O)c1cccc(C#N)c1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 13: 0.0, 15: 0.0, 16: 0.0, 17: 100.0, 18: 0.0, 19: 0.0, 20: 0.0, 22: 0.0}"
34,CCCCCCN(CCCCCC)C(=O)c1cccc(Cl)c1Cl,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 13: 0.0, 15: 0.0, 16: 0.0, 17: 100.0, 18: 0.0, 19: 0.0, 21: 0.0}"
35,CCCCCCN(CCCCCC)C(=O)c1cccc(C(F)(F)F)c1F,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 13: 0.0, 15: 0.0, 16: 0.0, 17: 100.0, 18: 0.0, 19: 0.0, 20: 0.0, 24: 0.0}"
36,CCCCCCN(CCCCCC)C(=O)c1cccs1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 13: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 100.0}"
37,CCCCCCN(CCCCCC)C(=O)c1ccc[nH]1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 13: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 100.0}"
38,CCCCCCN(CCCCCC)C(=O)c1cccn1C,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 13: 0.0, 15: 0.0, 16: 0.0, 17: 30.526315789473685, 18: 69.47368421052632, 20: 0.0}"
39,CCCCCCN(CCCCCC)C(=O)c1cc2ccccc2[nH]1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 13: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 100.0, 22: 0.0}"
40,CN(C)C(=O)c1ccccn1,"{0: 0.0, 3: 0.0, 5: 0.0, 6: 0.0, 7: 65.9090909090909, 8: 34.09090909090909, 9: 0.0}"
41,CCOC(=O)c1ccccn1,"{0: 0.0, 1: 0.0, 3: 0.0, 5: 0.0, 6: 0.0, 7: 56.52173913043478, 8: 43.47826086956522, 9: 0.0}"
42,CCOC(=O)Cc1ccccn1,"{0: 0.0, 1: 0.0, 3: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 32.58426966292135, 9: 67.41573033707866, 10: 0.0}"
43,CCOP(=O)(OCC)c1ccccc1,"{0: 0.0, 1: 0.0, 8: 0.0, 9: 0.0, 10: 43.529411764705884, 11: 56.470588235294116}"
44,CCOP(=O)(OCC)c1ccccc1C,"{0: 0.0, 1: 0.0, 8: 0.0, 9: 0.0, 10: 37.37373737373738, 11: 62.62626262626262, 12: 0.0, 13: 0.0, 14: 0.0}"
45,CCOP(=O)(OCC)c1ccccc1Br,"{0: 0.0, 1: 0.0, 8: 0.0, 9: 0.0, 10: 24.242424242424242, 11: 75.75757575757575, 12: 0.0, 13: 0.0}"
46,CCOP(=O)(OCC)c1ccccc1C(F)(F)F,"{0: 0.0, 1: 0.0, 8: 0.0, 9: 0.0, 10: 100.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0}"
