,Unnamed: 0.1,Unnamed: 0,DOI,rxn_type,temperature_degC,time_h,atmosphere,scale_mol,concentration_moll,stmat_1_smiles,SMILES,stmat_1_eq,reagent_1_smiles,reagent_1_eq,reagent_2_smiles,reagent_2_eq,reagent_3_smiles,reagent_3_eq,reagent_4_smiles,reagent_4_eq,catalyst_1_smiles,catalyst_1_eq,catalyst_2_smiles,catalyst_2_eq,ligand_1_smiles,ligand_1_eq,ligand_2_smiles,ligand_2_eq,additive_1_smiles,additive_1_eq,solvent_1_smiles,solvent_1_fraction,solvent_2_smiles,solvent_2_fraction,product_1_smiles,product_1_yield,product_1_yieldtype,product_2_smiles,product_2_yield,product_2_yieldtype,rxn_combo,rxn_ID,Reactant_SMILES,Product_SMILES,Yield (%),Selectivity (%)
63,63,63,10.1039/c2sc20776a,borylation,100,1.5,n2,0.001,0.416666667,Cc1ccc2ccc(Cl)cc2n1,Cc1ccc2ccc(Cl)cc2n1,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.015,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,O(C)C(C)(C)C,1,,,Cc1cc(B2OC(C)(C)C(C)(C)O2)c2ccc(Cl)cc2n1,0.61,GCMS,Cc1ccc2c(B3OC(C)(C)C(C)(C)O3)cc(Cl)cc2n1,0.11,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",63,Cc1ccc2ccc(Cl)cc2n1,Bc1cc(C)nc2cc(Cl)ccc12,61,
64,64,64,10.1039/c2sc20776a,borylation,25,16,n2,0.0002,0.4,COC(=O)c1ccccc1C,COC(=O)c1ccccc1C,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1.2,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.015,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,O(C)C(C)(C)C,1,,,COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1C,0.73,GCMS/1H-NMR,COC(=O)c1cc(B2OC(C)(C)C(C)(C)O2)ccc1C,0.27,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",64,COC(=O)c1ccccc1C,Bc1ccc(C(=O)OC)c(C)c1,73,
65,65,65,10.1039/c2sc20776a,borylation,25,16,n2,0.0002,0.4,O=C1CCCc2ccccc21,O=C1CCCc2ccccc21,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1.2,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.015,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,O(C)C(C)(C)C,1,,,CC1(C)OB(c2ccc3c(c2)CCCC3=O)OC1(C)C,0.8,GCMS/1H-NMR,CC1(C)OB(c2ccc3c(c2)C(=O)CCC3)OC1(C)C,0.2,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",65,O=C1CCCc2ccccc21,Bc1ccc2c(c1)CCCC2=O,80,
66,66,66,10.1002/anie.201409186,borylation,70,18,n2,0.0016,0.533333333,CC(C)(C)C(=O)NC1CC1,CC(C)(C)C(=O)NC1CC1,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0.5,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.025,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.05,,,,,C1CCCCC1,1,,,CC(C)(C)C(=O)NC1CC1B1OC(C)(C)C(C)(C)O1,0.15,1H NMR,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",66,CC(C)(C)C(=O)NC1CC1,BC1CC1NC(=O)C(C)(C)C,15,
67,67,67,10.1021/ja303443m,borylation,100,48,n2,0.0005,0.166667,CC(C)(C)OC(=O)NC=Cc1ccccc1,CC(C)(C)OC(=O)NC=Cc1ccccc1,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0.6,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.03,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.06,,,,,C1CCCCC1,1,,,CC(C)(C)OC(=O)NC=C(B1OC(C)(C)C(C)(C)O1)c1ccccc1,0.73,Isolated,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",67,CC(C)(C)OC(=O)NC=Cc1ccccc1,BC(=CNC(=O)OC(C)(C)C)c1ccccc1,73,
68,68,68,10.1021/ja400295v,borylation,80,2.5,n2,0.001,0.1,COc1c(C)cccc1C,COc1c(C)cccc1C,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0.75,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.025,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.05,,,,,O1CCCC1,1,,,COc1c(C)cc(B2OC(C)(C)C(C)(C)O2)cc1C,0.88,Isolated,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",68,COc1c(C)cccc1C,Bc1cc(C)c(OC)c(C)c1,88,
69,69,69,10.1021/ja400295v,borylation,80,8,n2,0.001,0.1,COc1cccc(OC)c1,COc1cccc(OC)c1,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0.75,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.025,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.05,,,,,O1CCCC1,1,,,COc1cc(OC)cc(B2OC(C)(C)C(C)(C)O2)c1,0.82,Isolated,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",69,COc1cccc(OC)c1,Bc1cc(OC)cc(OC)c1,82,
70,70,70,10.1021/ja400295v,borylation,80,2.5,n2,0.001,0.1,COc1cccc(OC)c1OC,COc1cccc(OC)c1OC,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0.75,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.025,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.05,,,,,O1CCCC1,1,,,COc1cc(B2OC(C)(C)C(C)(C)O2)cc(OC)c1OC,0.92,Isolated,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",70,COc1cccc(OC)c1OC,Bc1cc(OC)c(OC)c(OC)c1,92,
71,71,71,10.1021/ja400295v,borylation,25,,n2,0.001,0.1,CC(C)c1cccc(C(C)C)c1,CC(C)c1cccc(C(C)C)c1,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0.75,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.025,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.05,,,,,O1CCCC1,1,,,CC(C)c1cc(B2OC(C)(C)C(C)(C)O2)cc(C(C)C)c1,0.83,Isolated,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",71,CC(C)c1cccc(C(C)C)c1,Bc1cc(C(C)C)cc(C(C)C)c1,83,
72,72,72,10.1021/ja400295v,borylation,25,4,n2,0.001,0.1,Cc1cccc(Br)c1,Cc1cccc(Br)c1,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0.75,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.025,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.05,,,,,O1CCCC1,1,,,Cc1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1,0.73,Isolated,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",72,Cc1cccc(Br)c1,Bc1cc(C)cc(Br)c1,73,
73,73,73,10.1021/ja400295v,borylation,80,8,n2,0.001,0.1,Cc1cccc(N(C)C)c1,Cc1cccc(N(C)C)c1,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0.75,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.025,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.05,,,,,O1CCCC1,1,,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,0.94,Isolated,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",73,Cc1cccc(N(C)C)c1,Bc1cc(C)cc(N(C)C)c1,94,
74,74,74,10.1021/ja0428309,borylation,25,48,n2,0.001,0.333333,COC(=O)c1ccc(C#N)cc1,COC(=O)c1ccc(C#N)cc1,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0.8,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.015,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,O1CCCC1,1,,,COC(=O)c1ccc(C#N)c(B2OC(C)(C)C(C)(C)O2)c1,0.65,Isolated,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",74,COC(=O)c1ccc(C#N)cc1,Bc1cc(C(=O)OC)ccc1C#N,65,
75,75,75,10.1021/ja0428309,borylation,25,40,n2,0.001,0.333333,N#Cc1ccc(I)cc1,N#Cc1ccc(I)cc1,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.015,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,O1CCCC1,1,,,CC1(C)OB(c2cc(I)ccc2C#N)OC1(C)C,0.7,Isolated,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",75,N#Cc1ccc(I)cc1,Bc1cc(I)ccc1C#N,70,
76,76,76,10.1021/ja0428309,borylation,25,18,n2,0.001,0.333333,CC(=O)Nc1ccc(C#N)cc1,CC(=O)Nc1ccc(C#N)cc1,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1.6,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.04,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,O1CCCC1,1,,,CC(=O)Nc1ccc(C#N)c(B2OC(C)(C)C(C)(C)O2)c1,0.62,Isolated,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",76,CC(=O)Nc1ccc(C#N)cc1,Bc1cc(NC(C)=O)ccc1C#N,62,
77,77,77,10.1021/ja0428309,borylation,25,72,n2,0.001,0.333333,CN(C)c1ccc(C#N)cc1,CN(C)c1ccc(C#N)cc1,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.03,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,O1CCCC1,1,,,CN(C)c1ccc(C#N)c(B2OC(C)(C)C(C)(C)O2)c1,0.58,Isolated,,,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",77,CN(C)c1ccc(C#N)cc1,Bc1cc(N(C)C)ccc1C#N,58,
78,78,18,10.1038/nchem.2322,borylation,25,16,ar,0.00025,0.166667,CCCCCCN(CCCCCC)C(=O)c1ccccc1,CCCCCCN(CCCCCC)C(=O)c1ccccc1,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0.75,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.0075,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.015,,,,,C=1C=C(C=CC1C)C,1,,,CCCCCCN(CCCCCC)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,0.23,1H-NMR,CCCCCCN(CCCCCC)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,0.23,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",18,CCCCCCN(CCCCCC)C(=O)c1ccccc1,Bc1ccc(C(=O)N(CCCCCC)CCCCCC)cc1,23,
79,79,19,10.1038/nchem.2322,borylation,25,16,ar,0.00025,0.166667,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1.5,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.015,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,C=1C=C(C=CC1C)C,1,,,CCCCCCN(CCCCCC)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1OC,0.27,1H-NMR,CCCCCCN(CCCCCC)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1OC,0.27,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",19,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC,Bc1ccc(C(=O)N(CCCCCC)CCCCCC)c(OC)c1,27,
80,80,20,10.1038/nchem.2322,borylation,25,16,ar,0.00025,0.166667,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1.5,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.015,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,C=1C=C(C=CC1C)C,1,,,CCCCCCN(CCCCCC)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1Br,0.66,1H-NMR,CCCCCCN(CCCCCC)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1Br,0.66,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",20,CCCCCCN(CCCCCC)C(=O)c1ccccc1Br,Bc1ccc(C(=O)N(CCCCCC)CCCCCC)c(Br)c1,66,
81,81,21,10.1038/nchem.2322,borylation,25,16,ar,0.00025,0.166667,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1.5,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.015,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,C=1C=C(C=CC1C)C,1,,,CCCCCCN(CCCCCC)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1Cl,0.61,1H-NMR,CCCCCCN(CCCCCC)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1Cl,0.61,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",21,CCCCCCN(CCCCCC)C(=O)c1ccccc1Cl,Bc1ccc(C(=O)N(CCCCCC)CCCCCC)c(Cl)c1,61,
82,82,23,10.1038/nchem.2322,borylation,25,16,ar,0.00025,0.166667,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC(F)(F)F,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC(F)(F)F,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1.5,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.015,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,C=1C=C(C=CC1C)C,1,,,CCCCCCN(CCCCCC)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1OC(F)(F)F,0.79,1H-NMR,CCCCCCN(CCCCCC)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1OC(F)(F)F,0.79,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",23,CCCCCCN(CCCCCC)C(=O)c1ccccc1OC(F)(F)F,Bc1ccc(C(=O)N(CCCCCC)CCCCCC)c(OC(F)(F)F)c1,79,
83,83,25,10.1038/nchem.2322,borylation,35,24,ar,0.00025,0.166667,CN1Cc2ccccc2C1=O,CN1Cc2ccccc2C1=O,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1.5,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.015,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,C=1C=C(C=CC1C)C,1,,,CN1Cc2cc(B3OC(C)(C)C(C)(C)O3)ccc2C1=O,0.26,1H-NMR,CN1Cc2cc(B3OC(C)(C)C(C)(C)O3)ccc2C1=O,0.26,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",25,CN1Cc2ccccc2C1=O,Bc1ccc2c(c1)CN(C)C2=O,26,
84,84,26,10.1038/nchem.2322,borylation,25,16,ar,0.00025,0.166667,CN(C)C(=O)c1ccccc1,CN(C)C(=O)c1ccccc1,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.015,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,C=1C=C(C=CC1C)C,1,,,CN(C)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,0.2,1H-NMR,CN(C)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,0.2,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",26,CN(C)C(=O)c1ccccc1,Bc1ccc(C(=O)N(C)C)cc1,20,
85,85,27,10.1038/nchem.2322,borylation,25,16,ar,0.00025,0.166667,O=C(c1ccccc1)N1CCCCC1,O=C(c1ccccc1)N1CCCCC1,1,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,1,,,,,,,[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92,0.015,,,N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,0.03,,,,,C=1C=C(C=CC1C)C,1,,,CC1(C)OB(c2ccc(C(=O)N3CCCCC3)cc2)OC1(C)C,0.16,1H-NMR,CC1(C)OB(c2ccc(C(=O)N3CCCCC3)cc2)OC1(C)C,0.16,,"('N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C', 'O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C', '[O-]1(C)[Ir+]234([O-](C)[Ir+]1567[CH]=8CC[CH]7=[CH]6CC[CH]85)[CH]=9CC[CH]4=[CH]3CC[CH]92')",27,O=C(c1ccccc1)N1CCCCC1,Bc1ccc(C(=O)N2CCCCC2)cc1,16,
