,Buried_Volume_C,V_occ_avg,C_charge,Pyramidalization_H_max,Bmax_2.0_min,gas_charge_H_max,gas_charge_C,Buried_Volume_H_max_MFF,num_H,Pyramidalization_C_MFF,L_cc1_min,num_C,Bmax_2.0_avg,Bmin_3.5_avg,L_ch1_avg,n_Csp3,Pyramidalization_H_max_MFF,C_n_charge_min,Bmin_2.0_avg,Bmin_3.0_avg,Local_Nucleophilicity_H_max,dual_H_max,Reactant_SMILES,Atom_nº,bde_avg,DOI
16,0.111597315,-0.293540982,0.145972529,-0.041454184,-0.101778279,-0.109972071,-0.091857133,-0.018735745,-0.39584606,0.088680126,-0.145456605,0.362858888,-0.16735448,-0.022848084,-0.078763902,0.493178579,-0.049693376,-0.083075703,-0.05779828,-0.039174597,0.322768045,-0.12202254,C[C@@H]1CCCC[C@@H]1C,1,0.0679977,10.1021/ja00199a039
17,-0.055006472,-0.293528334,-0.0313581,-0.010966012,-0.100612887,-0.150479636,-0.125142337,-0.100499597,0.10415394,0.0894364,-0.081626818,0.029525555,-0.132713716,-0.018149207,-0.102573426,0.159845245,-0.01849177,-0.009919239,-0.05779828,-0.037309395,0.159635791,0.137598813,C[C@@H]1CCCC[C@@H]1C,2,0.0153644,10.1021/ja00199a039
18,-0.090023589,-0.293537795,-0.035299165,-0.009335753,-0.23305969,-0.153895936,-0.134907517,-0.045116242,0.10415394,0.082640425,-0.087705845,0.029525555,-0.233885495,-0.022848084,-0.080464582,0.159845245,-0.015851543,-0.014079625,-0.05779828,-0.039174597,0.127386663,0.083850033,C[C@@H]1CCCC[C@@H]1C,3,0.0264628,10.1021/ja00199a039
19,-0.130588111,-0.260556138,-0.058030318,-0.007995419,-0.23305969,-0.153895936,-0.13486952,-0.10829072,0.10415394,0.084039795,-0.081626818,0.029525555,-0.149135637,-0.021517641,-0.116178868,0.159845245,-0.017264593,-0.029489801,-0.05779828,-0.033767263,0.131312727,0.09771121,C1CC[C@H]2CCCC[C@@H]2C1,0,0.0126345,10.1021/ja00199a039
20,-0.049291388,-0.260570478,-0.066455447,-0.010639657,-0.101869655,-0.150357625,-0.124078427,-0.064925972,0.10415394,0.092433016,-0.081626818,0.029525555,-0.120246293,-0.022848084,-0.116178868,0.159845245,-0.017749816,-0.01697666,-0.05779828,-0.039174597,0.122142359,0.076822454,C1CC[C@H]2CCCC[C@@H]2C1,2,0.0184511,10.1021/ja00199a039
21,0.181282216,-0.26055584,0.119616901,-0.038734556,-0.050531139,-0.10643376,-0.080002129,0.109949887,-0.39584606,0.06737103,-0.096824386,0.362858888,-0.116107341,-0.022848084,-0.075362542,0.493178579,-0.048740902,-0.023586312,0.03410524,-0.038660869,0.052342483,0.079588039,C1CC[C@H]2CCCC[C@@H]2C1,3,0.0480585,10.1021/ja00199a039
22,-0.117439226,-0.26052945,-0.02451784,-0.010924016,-0.232023804,-0.153895936,-0.13486952,-0.175147733,0.10415394,0.090086991,-0.060350222,0.029525555,-0.149327676,-0.022521484,-0.095770705,0.159845245,-0.019868878,-0.01137954,-0.05290453,-0.038567093,0.121015168,0.010243355,C1CC[C@H]2CCCC[C@H]2C1,0,0.0072136,10.1021/ja00199a039
23,0.004785326,-0.260517898,-0.067817743,-0.008757421,-0.104966478,-0.150357625,-0.124078427,-0.01314919,0.10415394,0.083542108,-0.093784872,0.029525555,-0.123277075,-0.019799487,-0.095770705,0.159845245,-0.016098005,-0.01137954,-0.057235529,-0.036364443,0.145760833,-0.017711775,C1CC[C@H]2CCCC[C@H]2C1,2,0.0186042,10.1021/ja00199a039
24,0.184817464,-0.260534131,0.118770742,-0.04083082,-0.100703696,-0.10643376,-0.080002129,0.07995456,-0.39584606,0.0899146,-0.084666331,0.362858888,-0.166279897,-0.022848084,-0.116178868,0.493178579,-0.049621491,-0.024853871,-0.05779828,-0.039174597,0.206968265,2.90E-05,C1CC[C@H]2CCCC[C@H]2C1,3,0.065619,10.1021/ja00199a039
25,-0.09981888,-0.330658826,-0.111971479,-0.000533771,-0.132786811,-0.150357625,-0.12404043,-0.138515586,0.10415394,0.049422069,-0.0998639,0.029525555,-0.185905548,-0.022848084,-0.111076827,0.159845245,-0.002385976,-0.024125824,-0.05779828,-0.039174597,0.411553449,0.088178533,C1CC2CCC1C2,0,0.0470082,10.1021/ja00199a039
