,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,Pyramidalization_C_MFF,Pyramidalization_H_max_MFF,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
46,-0.294121827,-0.171666664,0.097116819,0.005090559,COc1ccc(C(C)O)cc1,7,-0.0800801,6,10.1016/S0040-4039(00)78488-7
47,-0.342299105,-0.268481023,0.087478632,0.008535895,Cc1ccc(C(C)O)cc1,0,0.1892307,5,10.1016/S0040-4039(00)78488-7
48,-0.061829503,-0.166108182,-0.511431404,0.163609937,Cc1ccc(C(C)O)cc1,2,-0.2831078,5,10.1016/S0040-4039(00)78488-7
49,-0.038919175,-0.148306507,-0.511737961,0.163698252,Cc1ccc(C(C)O)cc1,3,-0.280042,5,10.1016/S0040-4039(00)78488-7
50,-0.00558632,-0.05013638,0.078034572,-0.043075865,Cc1ccc(C(C)O)cc1,5,0.3389235,5,10.1016/S0040-4039(00)78488-7
51,-0.294707395,-0.166694415,0.097269723,0.005219438,Cc1ccc(C(C)O)cc1,6,-0.0800801,5,10.1016/S0040-4039(00)78488-7
52,-0.294014186,-0.17270537,0.097135558,0.005073614,CC(O)c1ccccc1,0,-0.08008,1,10.1016/S0040-4039(00)78488-7
53,-0.006698611,-0.053675247,0.078605713,-0.036596989,CC(O)c1ccccc1,1,0.3430297,1,10.1016/S0040-4039(00)78488-7
54,0.007995114,-0.063474425,-0.508778073,0.16284385,CC(O)c1ccccc1,4,-0.2834013,1,10.1016/S0040-4039(00)78488-7
55,-0.133944722,-0.244755915,-0.511527343,0.163638691,CC(O)c1ccccc1,5,-0.2857768,1,10.1016/S0040-4039(00)78488-7
56,-0.142854533,-0.244486743,-0.512075249,0.163796324,CC(O)c1ccccc1,6,-0.2927636,1,10.1016/S0040-4039(00)78488-7
57,-0.294331369,-0.166415335,0.09719552,0.005224573,CC(O)c1ccc(F)cc1,0,-0.08008,1,10.1016/S0040-4039(00)78488-7
58,-0.005762851,-0.050511239,0.077859182,-0.042349828,CC(O)c1ccc(F)cc1,1,0.3389242,1,10.1016/S0040-4039(00)78488-7
59,0.012876278,-0.053675247,-0.512269377,0.163851778,CC(O)c1ccc(F)cc1,4,-0.2884539,1,10.1016/S0040-4039(00)78488-7
60,-0.085048402,-0.197564963,-0.511948578,0.163760382,CC(O)c1ccc(F)cc1,5,-0.3431765,1,10.1016/S0040-4039(00)78488-7
61,-0.294632764,-0.171782259,0.097089087,0.005097747,CC(O)c1ccc(Cl)cc1,0,-0.0800801,1,10.1016/S0040-4039(00)78488-7
62,-0.006764631,-0.053713229,0.079677539,-0.036821886,CC(O)c1ccc(Cl)cc1,1,0.3389237,1,10.1016/S0040-4039(00)78488-7
63,-0.030127051,-0.132121515,-0.51197781,0.163767057,CC(O)c1ccc(Cl)cc1,4,-0.2869257,1,10.1016/S0040-4039(00)78488-7
64,-0.054766813,-0.155499837,-0.512603666,0.163947795,CC(O)c1ccc(Cl)cc1,5,-0.3247759,1,10.1016/S0040-4039(00)78488-7
65,-0.294891102,-0.16694377,0.097202266,0.005224059,CC(O)c1ccc(Br)cc1,0,-0.0800801,1,10.1016/S0040-4039(00)78488-7
66,-0.005828871,-0.050559129,0.077872674,-0.042456115,CC(O)c1ccc(Br)cc1,1,0.3389237,1,10.1016/S0040-4039(00)78488-7
67,0.014707612,-0.053212866,-0.512231151,0.163840482,CC(O)c1ccc(Br)cc1,4,-0.2859845,1,10.1016/S0040-4039(00)78488-7
68,-0.042020673,-0.144623971,-0.511941083,0.163758328,CC(O)c1ccc(Br)cc1,5,-0.3143668,1,10.1016/S0040-4039(00)78488-7
69,-0.296438263,-0.173233806,0.097532808,0.00509364,CC(O)c1ccc(C#N)cc1,0,-0.0800801,1,10.1016/S0040-4039(00)78488-7
70,-0.009590568,-0.053645523,0.098268095,-0.044120762,CC(O)c1ccc(C#N)cc1,1,0.3389235,1,10.1016/S0040-4039(00)78488-7
71,-0.020188192,-0.105029281,-0.504255417,0.161529898,CC(O)c1ccc(C#N)cc1,4,-0.3006632,1,10.1016/S0040-4039(00)78488-7
72,-0.058076417,-0.161538865,-0.509228539,0.162979404,CC(O)c1ccc(C#N)cc1,5,-0.3275635,1,10.1016/S0040-4039(00)78488-7
73,-0.1404893,-0.244765823,-0.51073809,0.163412767,c1ccc2c(c1)CCOC2,0,-0.2887908,9,10.1016/S0040-4020(97)00622-4
74,-0.140096051,-0.244660136,-0.510998176,0.163487219,c1ccc2c(c1)CCOC2,1,-0.2912924,9,10.1016/S0040-4020(97)00622-4
75,-0.062572944,-0.165540113,-0.510918726,0.163462573,c1ccc2c(c1)CCOC2,2,-0.2784784,9,10.1016/S0040-4020(97)00622-4
76,-0.063418285,-0.166588728,-0.511412666,0.163605316,c1ccc2c(c1)CCOC2,5,-0.2813238,9,10.1016/S0040-4020(97)00622-4
77,-0.085090023,-0.106751651,0.07438212,-0.009439417,c1ccc2c(c1)CCOC2,6,0.2264952,9,10.1016/S0040-4020(97)00622-4
78,-0.162997767,-0.119916303,0.08536721,-0.010641434,c1ccc2c(c1)CCOC2,7,0.0667534,9,10.1016/S0040-4020(97)00622-4
79,-0.108017573,-0.11914842,0.095489593,-0.014495487,c1ccc2c(c1)CCOC2,9,0.3652048,9,10.1016/S0040-4020(97)00622-4
80,-0.262837023,-0.070167393,0.098017003,0.004570934,CC1Cc2ccccc2CO1,0,-0.0855649,9,10.1016/S0040-4020(97)00622-4
81,0.019888736,-0.113233244,0.085730731,-0.04439033,CC1Cc2ccccc2CO1,1,0.0906407,9,10.1016/S0040-4020(97)00622-4
82,-0.01395362,-0.06925419,0.083080398,-0.012555111,CC1Cc2ccccc2CO1,2,0.2275303,9,10.1016/S0040-4020(97)00622-4
83,-0.055936512,-0.164164529,-0.511219287,0.163549348,CC1Cc2ccccc2CO1,4,-0.286421,9,10.1016/S0040-4020(97)00622-4
84,-0.140614163,-0.244361239,-0.510553706,0.16335988,CC1Cc2ccccc2CO1,5,-0.2914621,9,10.1016/S0040-4020(97)00622-4
85,-0.140338602,-0.244544541,-0.511217788,0.163550375,CC1Cc2ccccc2CO1,6,-0.2912924,9,10.1016/S0040-4020(97)00622-4
86,-0.058260125,-0.165165254,-0.511651016,0.163673606,CC1Cc2ccccc2CO1,7,-0.2845066,9,10.1016/S0040-4020(97)00622-4
