,Reactant_SMILES,Atom_nº,bde_avg,gas_charge_C,gas_charge_H_max,Buried_Volume_C,Buried_Volume_H_max,Reactive Atom,DOI
46,COc1ccc(C(C)O)cc1,7,-0.0800801,-0.065221371,-0.161582613,-0.287955539,-0.154000641,6,10.1016/S0040-4039(00)78488-7
47,Cc1ccc(C(C)O)cc1,0,0.1892307,-0.084523749,-0.13803454,-0.340201749,-0.259427307,5,10.1016/S0040-4039(00)78488-7
48,Cc1ccc(C(C)O)cc1,2,-0.2831078,-0.157439624,0.284122609,-0.058639533,-0.162679626,5,10.1016/S0040-4039(00)78488-7
49,Cc1ccc(C(C)O)cc1,3,-0.280042,-0.146914508,0.285464727,0.007831507,-0.059815254,5,10.1016/S0040-4039(00)78488-7
50,Cc1ccc(C(C)O)cc1,5,0.3389235,0.355897256,0.313039154,-0.013785205,-0.062234943,5,10.1016/S0040-4039(00)78488-7
51,Cc1ccc(C(C)O)cc1,6,-0.0800801,-0.065221371,-0.161582613,-0.287200981,-0.154741268,5,10.1016/S0040-4039(00)78488-7
52,CC(O)c1ccccc1,0,-0.08008,-0.065221371,-0.161582613,-0.286935488,-0.153286081,1,10.1016/S0040-4039(00)78488-7
53,CC(O)c1ccccc1,1,0.3430297,0.355897256,0.313039154,-0.013687392,-0.062190475,1,10.1016/S0040-4039(00)78488-7
54,CC(O)c1ccccc1,4,-0.2834013,-0.147940422,0.285342717,0.005889217,-0.059646581,1,10.1016/S0040-4039(00)78488-7
55,CC(O)c1ccccc1,5,-0.2857768,-0.168610686,0.280706309,-0.134766131,-0.23678221,1,10.1016/S0040-4039(00)78488-7
56,CC(O)c1ccccc1,6,-0.2927636,-0.169940574,0.280584298,-0.145148301,-0.237130289,1,10.1016/S0040-4039(00)78488-7
57,CC(O)c1ccc(F)cc1,0,-0.08008,-0.065221371,-0.161582613,-0.290317029,-0.15679601,1,10.1016/S0040-4039(00)78488-7
58,CC(O)c1ccc(F)cc1,1,0.3389242,0.355935252,0.313039154,-0.010627236,-0.055859109,1,10.1016/S0040-4039(00)78488-7
59,CC(O)c1ccc(F)cc1,4,-0.2884539,-0.136883351,0.286562824,0.007915347,-0.060226203,1,10.1016/S0040-4039(00)78488-7
60,CC(O)c1ccc(F)cc1,5,-0.3431765,-0.03201216,0.318407626,-0.088835858,-0.193943906,1,10.1016/S0040-4039(00)78488-7
61,CC(O)c1ccc(Cl)cc1,0,-0.0800801,-0.065221371,-0.161582613,-0.290163323,-0.156447931,1,10.1016/S0040-4039(00)78488-7
