,gas_charge_C,gas_charge_H_max,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
59,-0.05355,0.06276,CC(O)c1ccc(F)cc1,4,-0.2884539,1,10.1016/S0040-4039(00)78488-7
60,-0.02595,0.06537,CC(O)c1ccc(F)cc1,5,-0.3431765,1,10.1016/S0040-4039(00)78488-7
61,-0.03469,0.02603,CC(O)c1ccc(Cl)cc1,0,-0.0800801,1,10.1016/S0040-4039(00)78488-7
62,0.07615,0.06493,CC(O)c1ccc(Cl)cc1,1,0.3389237,1,10.1016/S0040-4039(00)78488-7
63,-0.05498,0.06271,CC(O)c1ccc(Cl)cc1,4,-0.2869257,1,10.1016/S0040-4039(00)78488-7
64,-0.04316,0.06385,CC(O)c1ccc(Cl)cc1,5,-0.3247759,1,10.1016/S0040-4039(00)78488-7
65,-0.03469,0.02603,CC(O)c1ccc(Br)cc1,0,-0.0800801,1,10.1016/S0040-4039(00)78488-7
66,0.07615,0.06493,CC(O)c1ccc(Br)cc1,1,0.3389237,1,10.1016/S0040-4039(00)78488-7
67,-0.05534,0.0627,CC(O)c1ccc(Br)cc1,4,-0.2859845,1,10.1016/S0040-4039(00)78488-7
68,-0.04761,0.06347,CC(O)c1ccc(Br)cc1,5,-0.3143668,1,10.1016/S0040-4039(00)78488-7
69,-0.03469,0.02603,CC(O)c1ccc(C#N)cc1,0,-0.0800801,1,10.1016/S0040-4039(00)78488-7
70,0.07615,0.06493,CC(O)c1ccc(C#N)cc1,1,0.3389235,1,10.1016/S0040-4039(00)78488-7
71,-0.05514,0.0627,CC(O)c1ccc(C#N)cc1,4,-0.3006632,1,10.1016/S0040-4039(00)78488-7
72,-0.04402,0.06367,CC(O)c1ccc(C#N)cc1,5,-0.3275635,1,10.1016/S0040-4039(00)78488-7
73,-0.06197,0.06228,c1ccc2c(c1)CCOC2,0,-0.2887908,9,10.1016/S0040-4020(97)00622-4
74,-0.06189,0.06228,c1ccc2c(c1)CCOC2,1,-0.2912924,9,10.1016/S0040-4020(97)00622-4
75,-0.05645,0.06266,c1ccc2c(c1)CCOC2,2,-0.2784784,9,10.1016/S0040-4020(97)00622-4
76,-0.0586,0.06257,c1ccc2c(c1)CCOC2,5,-0.2813238,9,10.1016/S0040-4020(97)00622-4
77,-0.00388,0.03398,c1ccc2c(c1)CCOC2,6,0.2264952,9,10.1016/S0040-4020(97)00622-4
78,0.05107,0.05702,c1ccc2c(c1)CCOC2,7,0.0667534,9,10.1016/S0040-4020(97)00622-4
79,0.07192,0.06184,c1ccc2c(c1)CCOC2,9,0.3652048,9,10.1016/S0040-4020(97)00622-4
80,-0.03833,0.02569,CC1Cc2ccccc2CO1,0,-0.0855649,9,10.1016/S0040-4020(97)00622-4
81,0.05915,0.0604,CC1Cc2ccccc2CO1,1,0.0906407,9,10.1016/S0040-4020(97)00622-4
82,-0.00129,0.03427,CC1Cc2ccccc2CO1,2,0.2275303,9,10.1016/S0040-4020(97)00622-4
83,-0.05859,0.06257,CC1Cc2ccccc2CO1,4,-0.286421,9,10.1016/S0040-4020(97)00622-4
84,-0.06197,0.06228,CC1Cc2ccccc2CO1,5,-0.2914621,9,10.1016/S0040-4020(97)00622-4
85,-0.06189,0.06228,CC1Cc2ccccc2CO1,6,-0.2912924,9,10.1016/S0040-4020(97)00622-4
86,-0.05645,0.06266,CC1Cc2ccccc2CO1,7,-0.2845066,9,10.1016/S0040-4020(97)00622-4
87,0.07228,0.06185,CC1Cc2ccccc2CO1,9,0.3544285,9,10.1016/S0040-4020(97)00622-4
88,-0.06189,0.06228,c1ccc2c(c1)COC2,0,-0.2906618,6,10.1016/S0040-4020(97)00622-4
89,-0.05636,0.06266,c1ccc2c(c1)COC2,2,-0.2938456,6,10.1016/S0040-4020(97)00622-4
90,0.07245,0.06186,c1ccc2c(c1)COC2,6,0.3570045,6,10.1016/S0040-4020(97)00622-4
91,-0.06225,0.06227,c1ccc(Cc2ccccc2)cc1,0,-0.2921718,4,10.1016/S0040-4020(97)00622-4
92,-0.06198,0.06228,c1ccc(Cc2ccccc2)cc1,1,-0.2869979,4,10.1016/S0040-4020(97)00622-4
93,-0.05871,0.06257,c1ccc(Cc2ccccc2)cc1,2,-0.2900963,4,10.1016/S0040-4020(97)00622-4
94,-0.00258,0.03657,c1ccc(Cc2ccccc2)cc1,4,0.3081959,4,10.1016/S0040-4020(97)00622-4
95,-0.06196,0.06228,c1ccc2c(c1)Cc1ccccc1C2,0,-0.2904275,6,10.1016/S0040-4020(97)00622-4
96,-0.05842,0.06258,c1ccc2c(c1)Cc1ccccc1C2,2,-0.2804868,6,10.1016/S0040-4020(97)00622-4
97,-0.00201,0.03659,c1ccc2c(c1)Cc1ccccc1C2,6,0.4280131,6,10.1016/S0040-4020(97)00622-4
98,-0.06171,0.06228,c1ccc2c(c1)Cc1ccccc1O2,0,-0.3023039,6,10.1016/S0040-4020(97)00622-4
99,-0.05854,0.06241,c1ccc2c(c1)Cc1ccccc1O2,1,-0.2880171,6,10.1016/S0040-4020(97)00622-4
