,C_spX,n_Csp3,num_C,num_H,num_N,num_O,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
39,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC(C)c1ccccc1,4,-0.2638527,1,10.1021/ja00199a039
40,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC(C)c1ccccc1,5,-0.2811042,1,10.1021/ja00199a039
41,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC(C)c1ccccc1,6,-0.2927636,1,10.1021/ja00199a039
42,-0.135613928,-0.506821421,-0.637141112,0.60415394,-0.015271839,0.436774588,COc1ccc(C(C)O)cc1,0,0.0297882,6,10.1016/S0040-4039(00)78488-7
43,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,COc1ccc(C(C)O)cc1,3,-0.2899985,6,10.1016/S0040-4039(00)78488-7
44,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,COc1ccc(C(C)O)cc1,4,-0.2786066,6,10.1016/S0040-4039(00)78488-7
45,-0.135613928,-0.173488088,0.029525555,-0.39584606,-0.015271839,0.436774588,COc1ccc(C(C)O)cc1,6,0.3389235,6,10.1016/S0040-4039(00)78488-7
46,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,COc1ccc(C(C)O)cc1,7,-0.0800801,6,10.1016/S0040-4039(00)78488-7
47,-0.135613928,-0.506821421,-0.303807778,0.60415394,-0.015271839,-0.063225412,Cc1ccc(C(C)O)cc1,0,0.1892307,5,10.1016/S0040-4039(00)78488-7
48,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,Cc1ccc(C(C)O)cc1,2,-0.2831078,5,10.1016/S0040-4039(00)78488-7
49,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,Cc1ccc(C(C)O)cc1,3,-0.280042,5,10.1016/S0040-4039(00)78488-7
50,-0.135613928,-0.173488088,0.029525555,-0.39584606,-0.015271839,0.436774588,Cc1ccc(C(C)O)cc1,5,0.3389235,5,10.1016/S0040-4039(00)78488-7
51,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,Cc1ccc(C(C)O)cc1,6,-0.0800801,5,10.1016/S0040-4039(00)78488-7
52,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,CC(O)c1ccccc1,0,-0.08008,1,10.1016/S0040-4039(00)78488-7
53,-0.135613928,-0.173488088,0.029525555,-0.39584606,-0.015271839,0.436774588,CC(O)c1ccccc1,1,0.3430297,1,10.1016/S0040-4039(00)78488-7
54,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC(O)c1ccccc1,4,-0.2834013,1,10.1016/S0040-4039(00)78488-7
55,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC(O)c1ccccc1,5,-0.2857768,1,10.1016/S0040-4039(00)78488-7
56,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC(O)c1ccccc1,6,-0.2927636,1,10.1016/S0040-4039(00)78488-7
57,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,CC(O)c1ccc(F)cc1,0,-0.08008,1,10.1016/S0040-4039(00)78488-7
58,-0.135613928,-0.173488088,0.029525555,-0.39584606,-0.015271839,0.436774588,CC(O)c1ccc(F)cc1,1,0.3389242,1,10.1016/S0040-4039(00)78488-7
59,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC(O)c1ccc(F)cc1,4,-0.2884539,1,10.1016/S0040-4039(00)78488-7
60,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC(O)c1ccc(F)cc1,5,-0.3431765,1,10.1016/S0040-4039(00)78488-7
61,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,CC(O)c1ccc(Cl)cc1,0,-0.0800801,1,10.1016/S0040-4039(00)78488-7
62,-0.135613928,-0.173488088,0.029525555,-0.39584606,-0.015271839,0.436774588,CC(O)c1ccc(Cl)cc1,1,0.3389237,1,10.1016/S0040-4039(00)78488-7
63,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC(O)c1ccc(Cl)cc1,4,-0.2869257,1,10.1016/S0040-4039(00)78488-7
64,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC(O)c1ccc(Cl)cc1,5,-0.3247759,1,10.1016/S0040-4039(00)78488-7
