,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,Pyramidalization_C_MFF,Pyramidalization_H_max_MFF,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,-0.3965703030797615,-0.27955009739768294,0.09076831265681226,0.006500014685606463,CCCCCCC,0,0.0,1,10.1021/ja00199a039
1,-0.14076486074667696,-0.07635174083244846,0.08667738584977391,-0.01650107385595326,CCCCCCC,1,34.74576271186441,1,10.1021/ja00199a039
2,-0.1068894947669996,-0.08232471465341774,0.08406827697925343,-0.018619108730360177,CCCCCCC,2,34.74576271186441,1,10.1021/ja00199a039
3,-0.1059365123914327,-0.08186233348950527,0.08395434864017876,-0.018588814413368644,CCCCCCC,3,30.508474576271187,1,10.1021/ja00199a039
4,-0.2762864176672809,-0.13911337838836765,0.09755004694594444,0.004152461850263768,CC(C)C(C)C,0,0.0,1,10.1021/ja00199a039
5,0.0658256438747135,-0.009724266473961005,0.09701638262080492,-0.05220729086595549,CC(C)C(C)C,1,100.0,1,10.1021/ja00199a039
6,-0.259652282527491,-0.09025785433711596,0.09904310781066053,0.0033627557564848655,CC1CCCCC1,0,0.0,1,10.1021/ja00199a039
7,0.04875807397977117,-0.08623844093367684,0.07793788299706826,-0.04469789449305818,CC1CCCCC1,1,95.74468085106383,1,10.1021/ja00199a039
8,-0.05442379639166229,-0.10338452530833114,0.08965001606536824,-0.01845993520040473,CC1CCCCC1,2,0.0,1,10.1021/ja00199a039
9,-0.09100023591172664,-0.047664292334279,0.08280157373559371,-0.015979908911099194,CC1CCCCC1,3,4.25531914893617,1,10.1021/ja00199a039
10,-0.115891159615728,-0.11770513049922018,0.08161806816060038,-0.015371455256269565,CC1CCCCC1,4,0.0,1,10.1021/ja00199a039
11,-0.27093593830566426,-0.17519562278653725,0.09824485990859086,0.004389681756197327,C[C@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
12,0.12447568119028833,0.08334810773772047,0.08834058969455552,-0.04726007486234068,C[C@H]1CCCC[C@@H]1C,1,90.0,1,10.1021/ja00199a039
13,-0.047286475075857703,-0.039671703643791974,0.08748837573713471,-0.017424280329694748,C[C@H]1CCCC[C@@H]1C,2,5.5,1,10.1021/ja00199a039
14,-0.12837034900662303,-0.11636752784647343,0.079424947633412,-0.014345042719556918,C[C@H]1CCCC[C@@H]1C,3,4.5,1,10.1021/ja00199a039
15,-0.20840795162445405,-0.05203049161065244,0.1019767625418346,0.0026208017216926543,C[C@@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
16,0.11921849076603899,-0.018735745086355116,0.08868012612614008,-0.04969337601865938,C[C@@H]1CCCC[C@@H]1C,1,100.0,1,10.1021/ja00199a039
17,-0.051749991925275005,-0.10049959711777727,0.08943640042960316,-0.01849176990639582,C[C@@H]1CCCC[C@@H]1C,2,0.0,1,10.1021/ja00199a039
18,-0.08879287613217551,-0.045116241848861316,0.08264042509808672,-0.015851543161135094,C[C@@H]1CCCC[C@@H]1C,3,0.0,1,10.1021/ja00199a039
19,-0.12135645613102736,-0.1082907197297024,0.08403979489448475,-0.017264593336739485,C1CC[C@H]2CCCC[C@@H]2C1,0,9.63855421686747,3,10.1021/ja00199a039
20,-0.04589862273071734,-0.06492597199991135,0.092433015558687,-0.017749815871603607,C1CC[C@H]2CCCC[C@@H]2C1,2,10.843373493975903,3,10.1021/ja00199a039
21,0.19104953732439484,0.10994988691438463,0.06737102954788776,-0.048740902153926104,C1CC[C@H]2CCCC[C@@H]2C1,3,79.51807228915662,3,10.1021/ja00199a039
22,-0.13173018596626476,-0.1751477333088463,0.09008699120800352,-0.019868877672010267,C1CC[C@H]2CCCC[C@H]2C1,0,0.7342143906020557,3,10.1021/ja00199a039
23,-0.041644647186771126,-0.0131491898095127,0.08354210793957939,-0.016098005401066103,C1CC[C@H]2CCCC[C@H]2C1,2,0.978952520802741,3,10.1021/ja00199a039
24,0.18193879617966777,0.07995456026686283,0.08991459964229839,-0.04962149119867949,C1CC[C@H]2CCCC[C@H]2C1,3,98.2868330885952,3,10.1021/ja00199a039
25,-0.09805431479111122,-0.13851558559788077,0.04942206944379328,-0.0023859759899054816,C1CC2CCC1C2,0,100.0,0,10.1021/ja00199a039
26,0.03182541424040615,-0.12512965090261471,0.03653917278579117,-0.005531450327024788,C1CC2CCC1C2,2,0.0,0,10.1021/ja00199a039
27,-0.06929405300800079,-0.13401562605623266,0.0012641107997803135,0.014633782066329006,C1CC2CCC1C2,6,0.0,0,10.1021/ja00199a039
28,-0.05989052812138272,-0.13295710346313303,0.07981170436342878,-0.015331405142280768,C1CC2CCC1CC2,0,19.444444444444443,2,10.1021/ja00199a039
29,0.06987151332760978,-0.10349186379281079,0.058510103070641944,-0.03162204573871942,C1CC2CCC1CC2,2,80.55555555555556,2,10.1021/ja00199a039
30,-0.005996791397116195,-0.09429708407615134,0.07518036747433207,-0.013522474993787297,C1C2CC3CC1CC(C2)C3,0,93.02325581395348,0,10.1021/ja00199a039
31,0.0988240938431388,-0.09597982124053278,0.062143067935741834,-0.03403224106004455,C1C2CC3CC1CC(C2)C3,1,6.976744186046512,0,10.1021/ja00199a039
32,-0.3497880538117209,-0.219856689136583,0.09407748118980505,0.005193251350972347,CCc1ccccc1,0,0.0,1,10.1021/ja00199a039
33,-0.12734991155326747,-0.14009428700038193,0.08466340264520959,-0.016291580952011938,CCc1ccccc1,1,100.0,1,10.1021/ja00199a039
