,Bmax_cc1_avg,Bmax_ch1_avg,Bmin_cc1_avg,Bmin_ch1_avg,C_charge,C_n_charge_avg,C_n_charge_max,C_n_charge_min,H_charge_avg,L_cc1_avg,L_cc1_max,L_cc1_min,L_cc2_avg,L_cc2_min,L_ch1_avg,L_ch1_min,L_ch2_avg,L_ch2_max,L_ch2_min,OccV_cc1_avg,Vbur_cc1_avg,Vbur_cc2_avg,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,-0.16060047612922385,-0.04818391570194218,-0.1275538645731637,-0.162593957169629,-0.2006358338729395,-0.051529919505249745,-0.11626502253512747,0.006523669089418307,-0.09540509422144552,0.09239431008997193,0.005460839303233997,0.170652817723874,-0.2993291169483473,-0.20683623035486196,-0.11617886813858098,-0.06910974530313038,-0.10703169617855547,0.03606335631381447,-0.1482305835959283,-0.30225677872354106,-0.3461657299360843,-0.3145648732640705,CCCCCCC,0,0.0,1,10.1021/ja00199a039
1,-0.19281032123348024,-0.06301318068409187,-0.12579012687835006,-0.09736508325795423,0.002185077944305614,-0.1134505307594353,-0.13461612814814364,-0.08244613255369415,-0.0804894824070995,-0.09896371460138614,-0.05514522130282661,-0.14545660476852723,0.031358713739483415,-0.0704725939912256,-0.11617886813858098,-0.06910974530313038,-0.23007417940003197,-0.273460453209995,-0.15813157369493822,-0.3022726226514788,-0.21141957648817206,-0.34188960273494495,CCCCCCC,1,34.74576271186441,1,10.1021/ja00199a039
2,-0.23525965121194306,-0.14019085045643284,-0.12625349325278776,-0.06728929399148607,-0.03165742146568597,-0.05906617758142559,-0.11626502253512747,-0.006111513986910407,-0.06346416595140329,-0.09896371460138614,-0.11878158493919029,-0.08162681753448468,0.034004216384986005,0.06589104237241075,-0.11447818786647214,-0.06910974530313038,-0.23007417940003197,-0.273460453209995,-0.15813157369493822,-0.3022483074757668,-0.12272177131197111,-0.2593738775604858,CCCCCCC,2,34.74576271186441,1,10.1021/ja00199a039
3,-0.24559728537948353,-0.21985240082749538,-0.12625349325278776,-0.0683577851894265,-0.026618845467804207,-0.07284148544248774,-0.13461612814814364,-0.01436242656999398,-0.08407176088811216,-0.09896371460138614,-0.1824179485755539,-0.01779703030044214,0.034004216384986005,0.2022546787360471,-0.11617886813858098,-0.06910974530313038,-0.23007417940003197,-0.273460453209995,-0.15813157369493822,-0.3022754129175441,-0.11865018837343418,-0.20912879433338125,CCCCCCC,3,30.508474576271187,1,10.1021/ja00199a039
4,-0.24865750852908358,-0.27266825271768586,-0.1156519760620043,-0.1627910245356974,-0.1791499336352093,0.025249349258838077,-0.036702294485861015,0.07088718394619516,-0.08506754147882946,-0.16069210966311454,-0.24302400918161451,-0.07858730385667315,-0.2993291169483473,-0.20683623035486196,-0.07649635113177826,-0.06910974530313038,-0.14058874315842124,-0.1365556913052331,-0.11852761329889863,-0.326745947455176,-0.15773293374965353,-0.060974146716038166,CC(C)C(C)C,0,0.0,1,10.1021/ja00199a039
5,-0.2743014651449414,-0.29505108268718094,-0.09841141964053453,0.08255742196252792,0.14891201820859104,-0.0926540328202093,-0.03913169870438878,-0.07975278151157773,-0.04335868071933576,-0.20595957879891702,-0.24302400918161451,-0.14545660476852723,-0.1494172650964955,-0.06397908749771913,-0.09236934432905716,-0.04530022149360657,-0.16631579013828698,-0.21691283416237594,-0.09542530306787549,-0.3267436227649342,0.001921390388437873,-0.20780278611436076,CC(C)C(C)C,1,100.0,1,10.1021/ja00199a039
6,-0.30761273683122226,-0.2017475482146447,-0.12105200797128383,-0.16228424957602305,-0.21006637501139674,0.015270283309049679,-0.0470431289732047,0.06252180394382165,-0.10462028409486321,-0.037235319539657745,-0.12181188796949331,0.04299324325578886,-0.2993291169483473,-0.20683623035486196,-0.11617886813858098,-0.06910974530313038,-0.13387733376244806,-0.148460453209995,-0.15153091362893162,-0.31795780517776184,-0.2545552420851047,-0.06838070951018631,CC1CCCCC1,0,0.0,1,10.1021/ja00199a039
7,-0.26793456836406465,-0.26652452162785595,-0.12087964331640173,0.08101100527938589,0.12984179473450633,-0.10872254790828795,-0.14036970644726934,-0.08658295141994486,0.05198309143256294,-0.1853834676878059,-0.24605431221191754,-0.14545660476852723,-0.1159076354668658,-0.0704725939912256,-0.11617886813858098,-0.06910974530313038,-0.23007417940003197,-0.273460453209995,-0.15813157369493822,-0.3179387388911281,-0.004337546452002788,-0.2013347713847744,CC1CCCCC1,1,95.74468085106383,1,10.1021/ja00199a039
8,-0.24834343079041457,-0.28257270096892007,-0.12393229771845046,-0.09822717343632031,-0.04226797945056253,-0.021175044682837752,-0.0470431289732047,0.0014172438480056866,-0.06305910266026406,-0.16532173929274419,-0.24605431221191754,-0.08466633121229622,-0.1326624502816806,-0.0704725939912256,-0.11617886813858098,-0.06910974530313038,-0.15960438074231384,-0.15143664368618548,-0.15483124366193493,-0.3179379735610074,-0.047097857335043236,-0.14413751981252376,CC1CCCCC1,2,0.0,1,10.1021/ja00199a039
9,-0.21170417989454793,-0.2561521589215019,-0.12704277064397232,-0.09945921569910339,-0.009455836213785923,-0.06463353050340734,-0.11931764436688784,-0.01297619245550467,-0.12877640223832312,-0.13291433188533675,-0.1824179485755539,-0.08466633121229622,-0.1908635084827389,-0.07696610048473207,-0.11617886813858098,-0.06910974530313038,-0.15960438074231384,-0.15143664368618548,-0.15483124366193493,-0.3179221296330697,-0.13187774236276084,-0.17244641790245818,CC1CCCCC1,3,4.25531914893617,1,10.1021/ja00199a039
