,Buried_Volume_C,Buried_Volume_H_max,Local_Electrophilicity_C,Local_Electrophilicity_H_max,Local_Nucleophilicity_C,Local_Nucleophilicity_H_max,Pyramidalization_C,Pyramidalization_H_max,Radical_H_max,charge_C,charge_H_max,dual_C,dual_H_max,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
28,0.47556,0.397072,-0.00216,0.019197,-0.0075,0.074708,0.79133,1.651329,0.07426,-0.05636,0.027058,-0.00131,-0.000896,C1CC2CCC1CC2,0,19.444444444444443,2,10.1021/ja00199a039
29,0.5698,0.41611,0.00525,0.015494,0.01485,0.059403,0.76918,1.613978,0.059753,-0.01206,0.01879,0.00861,0.000701,C1CC2CCC1CC2,2,80.55555555555556,2,10.1021/ja00199a039
30,0.51355,0.420151,-0.00186,0.015236,-0.0081,0.057247,0.77708,1.659851,0.05876,-0.05822,0.026589,0.00141,0.003028,C1C2CC3CC1CC(C2)C3,0,93.02325581395348,0,10.1021/ja00199a039
31,0.58811,0.419318,0.0022,0.019276,0.00864,0.081768,0.77001,1.613553,0.076253,-0.01118,0.018741,-0.00016,-0.01103,C1C2CC3CC1CC(C2)C3,1,6.976744186046512,0,10.1021/ja00199a039
32,0.27687,0.348694,-0.01044,0.038426,-0.00448,0.072945,0.79567,1.698544,0.060074,-0.09698,0.035503,-0.01038,-0.025742,CCc1ccccc1,0,0.0,1,10.1021/ja00199a039
33,0.42913,0.391883,-0.01244,0.039072,-0.00348,0.076485,0.77444,1.663857,0.062087,-0.05759,0.034881,-0.01449,-0.028795,CCc1ccccc1,1,100.0,1,10.1021/ja00199a039
34,0.4964,0.39996,0.03901,0.071284,0.03571,0.073212,0.00271,1.998862,0.084523,-0.03767,0.02756,0.01732,0.022622,CCc1ccccc1,3,0.0,1,10.1021/ja00199a039
35,0.42284,0.328853,0.04081,0.073038,0.03581,0.080735,0.00077,1.999678,0.089082,-0.03095,0.027119,0.01986,0.016694,CCc1ccccc1,4,0.0,1,10.1021/ja00199a039
36,0.41826,0.328684,0.0489,0.07502,0.06871,0.086063,0.00122,1.999488,0.092859,-0.03368,0.026718,-0.00543,0.013594,CCc1ccccc1,5,0.0,1,10.1021/ja00199a039
37,0.32964,0.393648,-0.01184,0.035423,-0.00867,0.061137,0.79793,1.697163,0.05258,-0.10164,0.037294,-0.00757,-0.017114,CC(C)c1ccccc1,0,0.0,1,10.1021/ja00199a039
38,0.55427,0.469577,-0.00306,0.032084,0.01138,0.070039,0.78226,1.602549,0.054005,-0.01421,0.03004,-0.01735,-0.03207,CC(C)c1ccccc1,1,100.0,1,10.1021/ja00199a039
39,0.53996,0.460836,0.03953,0.070571,0.03117,0.066075,0.0,2.0,0.080506,-0.03418,0.029325,0.02276,0.028861,CC(C)c1ccccc1,4,0.0,1,10.1021/ja00199a039
40,0.4287,0.329179,0.03871,0.072055,0.02948,0.075816,0.0,2.0,0.085832,-0.03153,0.026619,0.02347,0.020032,CC(C)c1ccccc1,5,0.0,1,10.1021/ja00199a039
41,0.41793,0.328236,0.0495,0.074548,0.06443,0.080277,0.0,2.0,0.089601,-0.03349,0.026488,-0.00019,0.018649,CC(C)c1ccccc1,6,0.0,1,10.1021/ja00199a039
42,0.24898,0.331736,-0.02237,0.039138,-0.03325,0.06063,0.77513,1.709554,0.051226,0.03878,0.060829,0.00618,-0.006986,COc1ccc(C(C)O)cc1,0,0.0,6,10.1016/S0040-4039(00)78488-7
43,0.46618,0.365839,0.0466,0.072738,0.03477,0.061763,0.00224,1.999058,0.07735,-0.05497,0.047719,0.02529,0.031174,COc1ccc(C(C)O)cc1,3,0.0,6,10.1016/S0040-4039(00)78488-7
44,0.49578,0.395622,0.04466,0.073041,0.01932,0.057963,0.00021,1.999913,0.075858,-0.03931,0.033082,0.0397,0.035789,COc1ccc(C(C)O)cc1,4,0.0,6,10.1016/S0040-4039(00)78488-7
45,0.51256,0.442811,-0.00498,0.037392,-0.0029,0.087127,0.7475,1.637914,0.064521,0.11938,0.012115,-0.00361,-0.045212,COc1ccc(C(C)O)cc1,6,97.0873786407767,6,10.1016/S0040-4039(00)78488-7
46,0.31637,0.382856,-0.01137,0.035548,-0.0099,0.047692,0.77644,1.70878,0.045629,-0.10842,0.054986,-0.0046,-0.004126,COc1ccc(C(C)O)cc1,7,2.912621359223301,6,10.1016/S0040-4039(00)78488-7
47,0.27898,0.314102,-0.02583,0.051715,-0.02196,0.092663,0.80088,1.695604,0.077057,-0.10902,0.047169,-0.01142,-0.006657,Cc1ccc(C(C)O)cc1,0,0.0,5,10.1016/S0040-4039(00)78488-7
48,0.48048,0.377196,0.03696,0.069911,0.0282,0.063826,0.00093,1.999607,0.076842,-0.04119,0.029758,0.01991,0.026033,Cc1ccc(C(C)O)cc1,2,0.0,5,10.1016/S0040-4039(00)78488-7
49,0.52805,0.444279,0.03688,0.068296,0.02278,0.052709,0.00239,1.998997,0.070779,-0.03571,0.042148,0.02583,0.036139,Cc1ccc(C(C)O)cc1,3,0.0,5,10.1016/S0040-4039(00)78488-7
50,0.51258,0.442701,-0.00507,0.040137,-0.00239,0.103265,0.74606,1.638777,0.073748,0.11952,0.010798,-0.00437,-0.059034,Cc1ccc(C(C)O)cc1,5,98.01980198019803,5,10.1016/S0040-4039(00)78488-7
