,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,bde_avg,gas_charge_C,gas_charge_H_max,Buried_Volume_C,Buried_Volume_H_max,DOI
0,CCCCCCC,0,0.0,1,0.04627125908268121,-0.18183357509392548,-0.19806382301899136,-0.39297894472992134,-0.26902785865333095,10.1021/ja00199a039
1,CCCCCCC,1,34.74576271186441,1,-0.021295504352182457,-0.14683851467900033,-0.15743424761635594,-0.14249337217350413,-0.07816686041672889,10.1021/ja00199a039
2,CCCCCCC,2,34.74576271186441,1,-0.016187223036155093,-0.1369593445292929,-0.15413995771884495,-0.10795134744074374,-0.08323931307332626,10.1021/ja00199a039
3,CCCCCCC,3,30.508474576271187,1,-0.017805278476470503,-0.13604742113085838,-0.1540179469819001,-0.06781999831756896,-0.013746098322118764,10.1021/ja00199a039
4,CC(C)C(C)C,0,0.0,1,0.03227968074863297,-0.17100448473751542,-0.19464752238453553,-0.22809387521269933,-0.1096274139703592,10.1021/ja00199a039
5,CC(C)C(C)C,1,100.0,1,-0.06487119734774399,-0.10367414048643252,-0.11351038231620952,0.05925329169850031,-0.014495925815793557,10.1021/ja00199a039
6,CC1CCCCC1,0,0.0,1,0.05236884561042945,-0.1709284911209792,-0.19464752238453553,-0.2565435363599081,-0.08698078359391201,10.1021/ja00199a039
7,CC1CCCCC1,1,95.74468085106383,1,-0.17943364602397416,-0.10166030964822292,-0.11338837157926468,0.041926386088216,-0.09126660740745192,10.1021/ja00199a039
8,CC1CCCCC1,2,0.0,1,-0.0220573464713406,-0.12609225736461474,-0.15060164634744427,-0.05750769481725457,-0.10100976465655101,10.1021/ja00199a039
9,CC1CCCCC1,3,4.25531914893617,1,-0.017652071942496787,-0.13498351049935142,-0.15389593624495526,-0.09104364115974045,-0.04296483634251283,10.1021/ja00199a039
10,CC1CCCCC1,4,0.0,1,-0.011925600585665193,-0.13589543389778594,-0.1540179469819001,-0.11794226478860931,-0.11104733270071263,10.1021/ja00199a039
11,C[C@H]1CCCC[C@@H]1C,0,0.0,1,0.03646436468807918,-0.16994057410600846,-0.1945255116475907,-0.26256603339057955,-0.15724222651348574,10.1021/ja00199a039
12,C[C@H]1CCCC[C@@H]1C,1,90.0,1,-0.04619776813796285,-0.09185713311505171,-0.10997207094480886,0.12394972151754595,0.07986733417040595,10.1021/ja00199a039
13,C[C@H]1CCCC[C@@H]1C,2,5.5,1,-0.012840984482853887,-0.1251423371579121,-0.15047963561049943,-0.0559287106769625,-0.08915052981794022,10.1021/ja00199a039
14,C[C@H]1CCCC[C@@H]1C,3,4.5,1,-0.013867166540826635,-0.13490751688281521,-0.15389593624495526,-0.1203317009655114,-0.09666107187114886,10.1021/ja00199a039
15,C[C@@H]1CCCC[C@@H]1C,0,0.0,1,0.02498728440232385,-0.16994057410600846,-0.1945255116475907,-0.20477241919369557,-0.05043857704633862,10.1021/ja00199a039
16,C[C@@H]1CCCC[C@@H]1C,1,100.0,1,-0.06799768342178969,-0.09185713311505171,-0.10997207094480886,0.11159731461473038,-0.026595902814950164,10.1021/ja00199a039
17,C[C@@H]1CCCC[C@@H]1C,2,0.0,1,-0.015364366498652932,-0.1251423371579121,-0.15047963561049943,-0.055006472152544145,-0.09754430425633635,10.1021/ja00199a039
18,C[C@@H]1CCCC[C@@H]1C,3,0.0,1,-0.02646278862221283,-0.13490751688281521,-0.15389593624495526,-0.09002358945848983,-0.04108030057620143,10.1021/ja00199a039
19,C1CC[C@H]2CCCC[C@@H]2C1,0,9.63855421686747,3,-0.012634474143843362,-0.1348695200745471,-0.15389593624495526,-0.13058811122192168,-0.1108955271345085,10.1021/ja00199a039
20,C1CC[C@H]2CCCC[C@@H]2C1,2,10.843373493975903,3,-0.018451126151963645,-0.12407842652640516,-0.15035762487355456,-0.04929138796334554,-0.03515068315689604,10.1021/ja00199a039
21,C1CC[C@H]2CCCC[C@@H]2C1,3,79.51807228915662,3,-0.04805854027542699,-0.0800021289354028,-0.10643375957340816,0.18128221645222076,0.12080270180055247,10.1021/ja00199a039
22,C1CC[C@H]2CCCC[C@H]2C1,0,0.7342143906020557,3,-0.007213577744817112,-0.1348695200745471,-0.15389593624495526,-0.11743922559347197,-0.09897342332403548,10.1021/ja00199a039
23,C1CC[C@H]2CCCC[C@H]2C1,2,0.978952520802741,3,-0.018604165063908943,-0.12407842652640516,-0.15035762487355456,0.004785325513912844,0.061819339077252615,10.1021/ja00199a039
24,C1CC[C@H]2CCCC[C@H]2C1,3,98.2868330885952,3,-0.06561895921651506,-0.0800021289354028,-0.10643375957340816,0.18481746412915784,0.061615398266089465,10.1021/ja00199a039
25,C1CC2CCC1C2,0,100.0,0,-0.0470082206453621,-0.12404042971813704,-0.15035762487355456,-0.09981888045269086,-0.13538069159053862,10.1021/ja00199a039
26,C1CC2CCC1C2,2,0.0,0,0.1620327081281827,-0.08972931185203781,-0.10972804947091913,0.022936656471783393,-0.1276478080514755,10.1021/ja00199a039
27,C1CC2CCC1C2,6,0.0,0,0.1154466911242689,-0.11423725318496583,-0.14706333497604357,-0.07229145782990039,-0.13339035194475157,10.1021/ja00199a039
28,C1CC2CCC1CC2,0,19.444444444444443,2,-0.06896184532924791,-0.12407842652640516,-0.15035762487355456,-0.06551440200652309,-0.13220197503759834,10.1021/ja00199a039
29,C1CC2CCC1CC2,2,80.55555555555556,2,-0.07584407057201908,-0.09071722886700853,-0.10985006020786402,0.06617008063163803,-0.10300930463968376,10.1021/ja00199a039
