,Bmax_cc1_avg,Bmax_ch1_avg,Bmin_cc1_avg,Bmin_cc1_min,Bmin_ch1_avg,C_charge,C_n_charge_avg,C_n_charge_min,H_charge_avg,L_cc1_avg,L_cc1_max,L_cc1_min,L_cc2_avg,L_cc2_min,L_ch1_avg,L_ch1_min,L_ch2_avg,L_ch2_max,OccV_cc1_avg,Vbur_cc1_avg,Vbur_cc2_avg,Vbur_cc2_max,Vbur_cc2_min,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,-0.3705841067973028,-0.01098451427776363,-0.0805272685030474,-0.02553054841952419,-0.1925380411312012,-0.14671077257241602,0.5445455276660133,0.5230029492945032,-0.1224377695930233,0.12435970978419171,0.001849370142053019,0.2248713107743945,-0.31731379731379733,-0.24070682404015742,-0.16955307746175396,-0.10765460030165915,-0.19297437795609104,-0.1783788457608201,-0.394565537727327,-0.3137804342000734,-0.20012615296347808,-0.27692972543581956,-0.037106852022983215,Cc1nc2ccccc2o1,0,0.0,7,10.1021/ja412563e
1,-0.2579801931350912,-0.15074398711609685,-0.1179268037185612,-0.12294131627958935,-0.1606844100782107,-0.10640084538238735,0.1439349524692716,-0.038290832625253235,0.09984771284245136,-0.12624269985436257,-0.14449209327258114,-0.1011198786529183,-0.027313797313797277,-0.055521638854972154,-0.16955307746175396,-0.10765460030165915,-0.1344447848083394,-0.19125438224150684,-0.3945692708740769,-0.047539327397395394,-0.09884085330010162,-0.04842162400357981,-0.11720403455653307,Cc1nc2ccccc2o1,4,0.0,7,10.1021/ja412563e
2,-0.10938832850598582,-0.35220166781611434,-0.16655214077563002,-0.12294131627958935,-0.1315309285628396,-0.05793725918278576,-0.13540606121716917,-0.05820984747092134,0.2035791928696751,-0.12383306130014565,-0.13961404449209333,-0.1011198786529183,-0.17064713064713063,-0.0370031203364537,-0.16955307746175396,-0.10765460030165915,0.0539920460267784,-0.0024131805247686136,-0.3945847094478822,-0.10814568095218896,-0.24706215448279942,-0.2769542738931503,-0.11772945167078691,Cc1nc2ccccc2o1,5,0.0,7,10.1021/ja412563e
3,-0.0991704648163567,-0.3682378517861305,-0.16655214077563002,-0.12294131627958935,-0.14472878843804138,-0.07125637135950422,-0.1303632365486723,-0.05517139461826575,0.14991053677837088,-0.1334716155170131,-0.15912623961404457,-0.1011198786529183,-0.17064713064713063,-0.0370031203364537,-0.16955307746175396,-0.10765460030165915,0.06684001176553646,0.010462355955918113,-0.3946046301882762,-0.10867243305477617,-0.2496841190938823,-0.2815891053848162,-0.11708016520182978,Cc1nc2ccccc2o1,6,0.0,7,10.1021/ja412563e
4,-0.24776242578223692,-0.15074398711609685,-0.12893301917736227,-0.12294131627958935,-0.1606844100782107,-0.09900819454704125,0.10284129612811627,-0.04376511989913547,0.13365484335917827,-0.11660414563749504,-0.12497989815062989,-0.1011198786529183,-0.04064713064713068,-0.055521638854972154,-0.16955307746175396,-0.10765460030165915,-0.1344447848083394,-0.19125438224150684,-0.39465194194671194,-0.05143564765505146,-0.09699500935180591,-0.044903140504666546,-0.11794541012970479,Cc1nc2ccccc2o1,7,100.0,7,10.1021/ja412563e
5,-0.3705841067973028,0.10640437663668378,-0.05773845721205212,0.0002744954919618547,-0.1942469214629799,-0.15411223817425887,0.5457786950033876,0.5240439454626229,-0.10060645186096734,0.26411874592877005,0.14331278477619938,0.35262461473915224,-0.31731379731379733,-0.24070682404015742,-0.16955307746175396,-0.10765460030165915,-0.13016212956208675,-0.1783788457608201,-0.3217198722730618,-0.31382805034063904,-0.20024094469788753,-0.27701840329010996,-0.03720547509761684,Cc1nc2cc(Br)ccc2o1,0,0.0,8,10.1021/ja412563e
6,-0.2562603890301427,-0.1530040229405357,-0.07006459959314729,-0.023207694445671095,-0.09256218743236908,-0.03778376471552085,0.21961022603356867,0.0832871340024868,0.07469196183465072,-0.12383306130014565,-0.14449209327258114,-0.09671459230930597,0.07268620268620272,0.23151539818206485,-0.16955307746175396,-0.10765460030165915,-0.13016212956208675,-0.18696253674794464,-0.32174527121706425,0.07749319809832893,0.08624569734681486,-0.03916677284225559,0.19053661602200564,Cc1nc2cc(Br)ccc2o1,4,0.0,8,10.1021/ja412563e
7,-0.09897008432463066,-0.3192086348057286,-0.12549189582641784,-0.12294131627958935,-0.09872330680405696,0.00482681653018191,-0.0483833592073353,-0.03834155401627529,0.14992362509835414,-0.13106197696279628,-0.15912623961404457,-0.09671459230930597,-0.06731379731379725,-0.0370031203364537,-0.16955307746175396,-0.10765460030165915,0.07112266701178904,0.014754201449480255,-0.32174900436381404,0.015932755589380843,-0.06473210507379458,-0.07213275827911783,-0.03222477975923352,Cc1nc2cc(Br)ccc2o1,7,0.0,8,10.1021/ja412563e
8,-0.17794340790097543,-0.15150916078585575,-0.11183217764366175,-0.12294131627958935,-0.10187122196157979,-0.05806066591374141,0.11937603868655224,-0.01249417468186073,0.18443098073418474,-0.0419053504567722,-0.12497989815062989,0.03544399799906407,-0.04064713064713068,-0.055521638854972154,-0.16955307746175396,-0.10765460030165915,-0.13016212956208675,-0.18696253674794464,-0.3217457692355741,-0.043769541978870605,-0.0008325987925087948,-0.04426170862238796,0.04657671337264321,Cc1nc2cc(Br)ccc2o1,8,100.0,8,10.1021/ja412563e
9,-0.38263285089330357,-0.007071687728762232,-0.07397098915544777,-0.01810650710817993,-0.1982831663318909,-0.17212668263829176,0.4949684811733157,0.48115176344045757,-0.1692743226530725,0.119540432675758,-0.0030286786384347685,0.2204660244307822,-0.31731379731379733,-0.24070682404015742,-0.16955307746175396,-0.10765460030165915,-0.1858366477633715,-0.18267069125438234,-0.38599414115429914,-0.29941256007809325,-0.16947865224375339,-0.2532542002146792,-0.010776116919408014,Cc1nc2ccccc2[nH]1,0,0.0,6,10.1021/ja412563e
