,bde_avg,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
58,0.1528170435667199,Fc1cccc(-c2ccccc2)c1,9,0.0,2,10.1021/jacs.6b13346
59,0.20363804167410113,Fc1cccc(-c2ccccc2)c1,12,0.0,2,10.1021/jacs.6b13346
60,0.22223969522525164,Fc1cccc(-c2ccc3ccccc3c2)c1,2,100.0,2,10.1021/jacs.6b13346
61,0.1564120231463593,Fc1cccc(-c2ccc3ccccc3c2)c1,3,0.0,2,10.1021/jacs.6b13346
62,0.1626166251983565,Fc1cccc(-c2ccc3ccccc3c2)c1,4,0.0,2,10.1021/jacs.6b13346
63,0.13966991735893028,Fc1cccc(-c2ccc3ccccc3c2)c1,7,0.0,2,10.1021/jacs.6b13346
64,0.15035006478397261,Fc1cccc(-c2ccc3ccccc3c2)c1,8,0.0,2,10.1021/jacs.6b13346
65,0.15075110074372958,Fc1cccc(-c2ccc3ccccc3c2)c1,10,0.0,2,10.1021/jacs.6b13346
66,0.14532844908519785,Fc1cccc(-c2ccc3ccccc3c2)c1,11,0.0,2,10.1021/jacs.6b13346
67,0.14628193050765026,Fc1cccc(-c2ccc3ccccc3c2)c1,12,0.0,2,10.1021/jacs.6b13346
68,0.15926708839190168,Fc1cccc(-c2ccc3ccccc3c2)c1,13,0.0,2,10.1021/jacs.6b13346
69,0.11906627157747794,Fc1cccc(-c2ccc3ccccc3c2)c1,15,0.0,2,10.1021/jacs.6b13346
70,0.20393548165816328,Fc1cccc(-c2ccc3ccccc3c2)c1,16,0.0,2,10.1021/jacs.6b13346
71,-0.183100876544845,COC(=O)C(C)c1cccc(F)c1,0,0.0,9,10.1021/jacs.6b13346
72,-0.5627825181426137,COC(=O)C(C)c1cccc(F)c1,4,0.0,9,10.1021/jacs.6b13346
73,-0.1205575953415379,COC(=O)C(C)c1cccc(F)c1,5,0.0,9,10.1021/jacs.6b13346
74,0.16319138364043242,COC(=O)C(C)c1cccc(F)c1,7,0.0,9,10.1021/jacs.6b13346
75,0.15060706249290776,COC(=O)C(C)c1cccc(F)c1,8,0.0,9,10.1021/jacs.6b13346
76,0.22421040943981482,COC(=O)C(C)c1cccc(F)c1,9,100.0,9,10.1021/jacs.6b13346
77,0.21228471963007284,COC(=O)C(C)c1cccc(F)c1,12,0.0,9,10.1021/jacs.6b13346
78,-0.22516960849025788,COc1cccc(F)c1,0,0.0,5,10.1021/jacs.6b13346
79,0.16179981077460914,COc1cccc(F)c1,3,0.0,5,10.1021/jacs.6b13346
80,0.14497821499813737,COc1cccc(F)c1,4,0.0,5,10.1021/jacs.6b13346
81,0.24000640505690818,COc1cccc(F)c1,5,100.0,5,10.1021/jacs.6b13346
82,0.21165716708499863,COc1cccc(F)c1,8,0.0,5,10.1021/jacs.6b13346
83,-0.1027892917256399,CCOC(=O)c1ncccc1C,0,0.0,8,10.1021/jacs.7b04490
84,-0.2431638310223826,CCOC(=O)c1ncccc1C,1,0.0,8,10.1021/jacs.7b04490
85,0.03485927884911855,CCOC(=O)c1ncccc1C,7,0.0,8,10.1021/jacs.7b04490
86,0.17516628153862945,CCOC(=O)c1ncccc1C,8,100.0,8,10.1021/jacs.7b04490
87,0.13384603051761143,CCOC(=O)c1ncccc1C,9,0.0,8,10.1021/jacs.7b04490
88,-0.39553219440518966,CCOC(=O)c1ncccc1C,11,0.0,8,10.1021/jacs.7b04490
89,-0.1027892917256399,CCOC(=O)c1ccc2c(ccn2C)c1,0,0.0,11,10.1021/jacs.7b04490
90,-0.24677215854504422,CCOC(=O)c1ccc2c(ccn2C)c1,1,0.0,11,10.1021/jacs.7b04490
