,Buried_Volume_C,Buried_Volume_H_max,Local_Electrophilicity_C,Local_Electrophilicity_H_max,Local_Nucleophilicity_C,Local_Nucleophilicity_H_max,Pyramidalization_H_max,Radical_H_max,charge_C,charge_H_max,dual_C,dual_H_max,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,-0.3670793827087101,-0.242259120316286,-0.3899751550379342,0.023713147175764466,-0.24510495320777048,0.35005382189356016,-0.07696897750557331,0.20148143756831172,-0.3607864469641023,0.3568489394026704,-0.17729325975081833,-0.07448105979110094,Cc1nc2ccccc2o1,0,0.0,7,10.1021/ja412563e
1,-0.008555721771873656,-0.1290218508344049,0.340116696314556,0.19290615613034431,0.27204544257059365,0.30208434792245087,0.07242701132319079,0.28814617635753825,-0.00382227482079083,0.046870850331053725,0.14418343116807145,0.000985946954329252,Cc1nc2ccccc2o1,4,0.0,7,10.1021/ja412563e
2,-0.05685615935611317,-0.17186740715394883,0.013833726735049763,0.1544536082107557,0.17654795342258106,0.2957829033871552,0.0724295834441772,0.2609431608913076,0.012459260053069658,-0.08783212118473939,-0.1491786455408121,-0.03350317293145561,Cc1nc2ccccc2o1,5,0.0,7,10.1021/ja412563e
3,-0.05779779632736557,-0.17175671162413236,0.21666510787602894,0.2027058468557012,0.4382723554993535,0.36757358204619045,0.07242649689899355,0.32295765985922836,0.019667231221184987,-0.07834148872209874,-0.19013795569979886,-0.03938236476314871,Cc1nc2ccccc2o1,6,0.0,7,10.1021/ja412563e
4,-0.012525367827153258,-0.1327791125675989,0.30278628424747916,0.1927892790849959,0.23042487911838494,0.33661146702847433,0.07242495362640172,0.3031337614916087,-0.052158081477564205,-0.024376595445553297,0.1445427233624485,-0.025699006966602433,Cc1nc2ccccc2o1,7,100.0,7,10.1021/ja412563e
5,-0.36661779595809624,-0.24202495669552035,-0.4101150387490659,0.05574644814314681,-0.22186893312095457,0.1491925517927153,-0.07682648200292683,0.09664811586872155,-0.3697328111786454,0.4192581567640038,-0.19013795569979886,-0.009240478128083703,Cc1nc2cc(Br)ccc2o1,0,0.0,8,10.1021/ja412563e
6,0.10977665761550849,-0.00030210849953816554,0.4139348474900848,0.24774846202454356,0.07551807853961227,0.09620808736099007,0.0724187805360343,0.17476703931536755,-0.026506184085153775,0.3066138277554117,0.34664458269955445,0.12152141059236994,Cc1nc2cc(Br)ccc2o1,4,0.0,8,10.1021/ja412563e
7,0.059943752019230696,-0.03511372386663223,0.19778923360283437,0.23279719076191188,0.2067632908981109,0.15021735419118903,0.07242186708121807,0.19177889576162463,-0.004034273972794228,0.20070280089606016,-0.012288319483145667,0.06941075666261547,Cc1nc2cc(Br)ccc2o1,7,0.0,8,10.1021/ja412563e
8,-0.007835646440915953,-0.13243212465682797,0.40854174055488635,0.2707552588742577,0.12794807258165844,0.2239922247281201,0.07242855459578272,0.24622481381353778,-0.04244852031580885,0.13825665500374384,0.28646314014139396,0.04845260078783503,Cc1nc2cc(Br)ccc2o1,8,100.0,8,10.1021/ja412563e
9,-0.3670055288286119,-0.24159068961700947,-0.38188549463513644,-0.03502206338272797,-0.2737882454028509,0.21657876056894868,-0.07980036828740034,0.11850625732839075,-0.34382651480383086,0.3150335328195443,-0.14899899944362352,-0.05470195057288106,Cc1nc2ccccc2[nH]1,0,0.0,6,10.1021/ja412563e
10,-0.005435395337723576,-0.12564989469537988,0.3276451365269095,0.15961417928998028,0.2780885100656996,0.2927848112639609,0.07242701132319079,0.28341955270248204,-0.0057726670192220445,-0.057403011654716465,0.15666883492267486,0.007073677650448023,Cc1nc2ccccc2[nH]1,4,0.0,6,10.1021/ja412563e
11,-0.05700386711630967,-0.1720419654894287,0.015856141835749186,0.12396668045875077,0.23527635583980805,0.30878917212523094,0.07242289592961254,0.26597890972211646,-0.0004726882191372405,-0.21372148330591415,-0.20289282860018512,-0.04453969129490677,Cc1nc2ccccc2[nH]1,5,0.0,6,10.1021/ja412563e
12,-0.058277846548004004,-0.17274871387210317,0.172930381323404,0.16191575802914673,0.3449878206453234,0.3358374141530314,0.07242032380862624,0.3033132535291425,0.012374460392268305,-0.22428304316706288,-0.12115385437940006,-0.024271317817842034,Cc1nc2ccccc2[nH]1,6,100.0,6,10.1021/ja412563e
13,-0.0111959979853852,-0.132989859826288,0.29528649491571884,0.16228437024909134,0.2453197637894208,0.33061528278208574,0.0724295834441772,0.3013488128961339,-0.060256449084093784,-0.30779076123003835,0.15118962895842444,-0.0197636700560255,Cc1nc2ccccc2[nH]1,7,0.0,6,10.1021/ja412563e
14,-0.35284404731977714,-0.22631683526252408,-0.4036264569676552,-0.042367336155770714,-0.28536369863291305,0.1663525408905622,-0.08284421626270383,0.05742910566759076,-0.32343219638110454,0.1504061416971632,-0.12375872278863387,-0.0877553605843507,Cc1cc2c(Cl)ccnc2[nH]1,0,0.0,6,10.1021/ja412563e
15,0.09709225370863815,0.025062069149757126,0.05900099731733678,0.08804946536902518,0.35409497870132817,0.19506881235417622,0.07242546805059896,0.14297700511216266,-0.1567584630760378,-0.05455951476902256,-0.30502163485186923,-0.0750906349332683,Cc1cc2c(Cl)ccnc2[nH]1,2,0.0,6,10.1021/ja412563e
16,0.03411335745487626,-0.06505260716161244,0.027737830552358282,0.19759921902817576,0.1268415954346672,0.17948963546674096,0.07242649689899355,0.19668501145421466,-0.10511546964801152,0.04530754251943844,-0.09860826918223846,0.0342318543791149,Cc1cc2c(Cl)ccnc2[nH]1,6,100.0,6,10.1021/ja412563e
