,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,Pyramidalization_C_MFF,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
37,0.15196911649582864,0.09413870745633703,-0.3901714399858437,CCOC(=O)c1cccc(F)c1,11,0.0,8,10.1021/jacs.6b13346
38,0.006488872263501695,-0.11700669033821513,-0.3878073338916098,Fc1cccc(C(F)(F)F)c1,2,100.0,2,10.1021/jacs.6b13346
39,-0.04706842066213812,-0.18889039847261102,-0.3885125873669422,Fc1cccc(C(F)(F)F)c1,3,0.0,2,10.1021/jacs.6b13346
40,0.11287459917574155,0.0477274413649091,-0.3885981822331791,Fc1cccc(C(F)(F)F)c1,4,0.0,2,10.1021/jacs.6b13346
41,0.17588860618385865,0.11909389107040129,-0.38866087143098643,Fc1cccc(C(F)(F)F)c1,10,0.0,2,10.1021/jacs.6b13346
42,-0.1537549172125133,0.1332855353183101,0.5765381848554743,CN(C)S(=O)(=O)c1cccc(F)c1,0,0.0,9,10.1021/jacs.6b13346
43,0.15840521770942498,0.11249377494081293,-0.38625336512288594,CN(C)S(=O)(=O)c1cccc(F)c1,7,0.0,9,10.1021/jacs.6b13346
44,-0.04128736988742566,-0.18881686663712963,-0.3860809698289158,CN(C)S(=O)(=O)c1cccc(F)c1,8,0.0,9,10.1021/jacs.6b13346
45,0.008230752867181418,-0.1160457053158893,-0.38571689025703476,CN(C)S(=O)(=O)c1cccc(F)c1,9,100.0,9,10.1021/jacs.6b13346
46,0.2296950027975246,0.21760119481012916,-0.3892202519652672,CN(C)S(=O)(=O)c1cccc(F)c1,12,0.0,9,10.1021/jacs.6b13346
47,-0.24891990688854934,0.029418014330042246,0.5884515435618585,CCN(CC)C(=O)c1cccc(F)c1,0,0.0,10,10.1021/jacs.6b13346
48,0.13444144292130156,0.34927389193249864,0.5725091983348574,CCN(CC)C(=O)c1cccc(F)c1,1,0.0,10,10.1021/jacs.6b13346
49,0.1912555359163213,0.18774473402414982,-0.37500788748544894,CCN(CC)C(=O)c1cccc(F)c1,8,0.0,10,10.1021/jacs.6b13346
50,-0.022696853910653195,-0.1785984770857498,-0.37993622288230167,CCN(CC)C(=O)c1cccc(F)c1,9,0.0,10,10.1021/jacs.6b13346
51,0.009467045244793094,-0.1150416154244882,-0.37870775571757737,CCN(CC)C(=O)c1cccc(F)c1,10,100.0,10,10.1021/jacs.6b13346
52,0.18364772476274982,0.11230107082024095,-0.38623769282343406,CCN(CC)C(=O)c1cccc(F)c1,13,0.0,10,10.1021/jacs.6b13346
53,0.006092151575163585,-0.11702190382141806,-0.3897085043712666,Fc1cccc(-c2ccccc2)c1,2,100.0,2,10.1021/jacs.6b13346
