,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,bde_avg,gas_charge_C,gas_charge_H_max,Buried_Volume_C,Buried_Volume_H_max,DOI
0,Cc1nc2ccccc2o1,0,0.0,7,-0.3779559417903874,0.28457235750117893,-0.3224352208451149,-0.3670793827087101,-0.242259120316286,10.1021/ja412563e
1,Cc1nc2ccccc2o1,4,0.0,7,0.2052826277882559,-0.007337405237055203,0.18768363556349416,-0.008555721771873656,-0.1290218508344049,10.1021/ja412563e
2,Cc1nc2ccccc2o1,5,0.0,7,0.16307583428292668,-0.1848947759099451,0.1499386949916986,-0.05685615935611317,-0.17186740715394883,10.1021/ja412563e
3,Cc1nc2ccccc2o1,6,0.0,7,0.15996855268117352,-0.17555988676175377,0.15090239560204227,-0.05779779632736557,-0.17175671162413236,10.1021/ja412563e
4,Cc1nc2ccccc2o1,7,100.0,7,0.20930593688278723,0.09301265310600197,0.21338231850599343,-0.012525367827153258,-0.1327791125675989,10.1021/ja412563e
5,Cc1nc2cc(Br)ccc2o1,0,0.0,8,-0.3779559417903874,0.28457235750117893,-0.3224352208451149,-0.36661779595809624,-0.24202495669552035,10.1021/ja412563e
6,Cc1nc2cc(Br)ccc2o1,4,0.0,8,0.23738104396516596,0.08516875319675782,0.20695764777036865,0.10977665761550849,-0.00030210849953816554,10.1021/ja412563e
7,Cc1nc2cc(Br)ccc2o1,7,0.0,8,0.1890274230865924,-0.08292407708977141,0.1700157910405261,0.059943752019230696,-0.03511372386663223,10.1021/ja412563e
8,Cc1nc2cc(Br)ccc2o1,8,100.0,8,0.21349838632994333,0.10027312244348414,0.21402478557955587,-0.007835646440915953,-0.13243212465682797,10.1021/ja412563e
9,Cc1nc2ccccc2[nH]1,0,0.0,6,-0.3670000696915728,0.16263536800292924,-0.35086438885025456,-0.3670055288286119,-0.24159068961700947,10.1021/ja412563e
10,Cc1nc2ccccc2[nH]1,4,0.0,6,0.1959057974266661,-0.018746714195955746,0.18655931818476004,-0.005435395337723576,-0.12564989469537988,10.1021/ja412563e
11,Cc1nc2ccccc2[nH]1,5,0.0,6,0.1589431517448253,-0.18573750895804575,0.1499386949916986,-0.05700386711630967,-0.1720419654894287,10.1021/ja412563e
12,Cc1nc2ccccc2[nH]1,6,100.0,6,0.1561376930337983,-0.1861912882916384,0.1499386949916986,-0.058277846548004004,-0.17274871387210317,10.1021/ja412563e
13,Cc1nc2ccccc2[nH]1,7,0.0,6,0.17481903579702174,-0.032619396680073486,0.1852743840376349,-0.0111959979853852,-0.132989859826288,10.1021/ja412563e
14,Cc1cc2c(Cl)ccnc2[nH]1,0,0.0,6,-0.47312617786967814,0.044976869364267244,-0.3778480059398788,-0.35284404731977714,-0.22631683526252408,10.1021/ja412563e
15,Cc1cc2c(Cl)ccnc2[nH]1,2,0.0,6,0.33614386894773396,0.004590508674522661,0.19137782123647853,0.09709225370863815,0.025062069149757126,10.1021/ja412563e
16,Cc1cc2c(Cl)ccnc2[nH]1,6,100.0,6,0.23489553744061173,0.045430648697859885,0.2005329770347439,0.03411335745487626,-0.06505260716161244,10.1021/ja412563e
17,Cc1cc2c(Cl)ccnc2[nH]1,7,0.0,6,0.05023989444828181,0.40242533299709493,0.49976201654646885,-0.08765322735707333,-0.1970463826668204,10.1021/ja412563e
18,CCN(CC)C(=O)c1cc2ccccc2[nH]1,0,0.0,13,-0.1228566291098415,-0.10438135700679459,-0.452534803241517,-0.2443896243955327,-0.031654488559867265,10.1021/ja0631652
19,CCN(CC)C(=O)c1cc2ccccc2[nH]1,1,0.0,13,-0.3513202211010757,0.3196430174259812,-0.06287852312587296,0.05946370179859226,0.056452766893484156,10.1021/ja0631652
20,CCN(CC)C(=O)c1cc2ccccc2[nH]1,8,0.0,13,0.2973694890294154,0.05022774451012487,0.1987661925824471,0.19476401013854172,0.20945953422212438,10.1021/ja0631652
21,CCN(CC)C(=O)c1cc2ccccc2[nH]1,10,0.0,13,0.17365119039409316,-0.1393871913125122,0.16005755140030753,0.009981602132781077,-0.10938616685311242,10.1021/ja0631652
22,CCN(CC)C(=O)c1cc2ccccc2[nH]1,11,0.0,13,0.15754301228870415,-0.19578547991616838,0.1489749943813548,-0.0577054789772428,-0.17320639731269047,10.1021/ja0631652
23,CCN(CC)C(=O)c1cc2ccccc2[nH]1,12,0.0,13,0.15136112166214774,-0.1869691957206543,0.1499386949916986,-0.05837016389812688,-0.17233999191585767,10.1021/ja0631652
24,CCN(CC)C(=O)c1cc2ccccc2[nH]1,13,100.0,13,0.1776348541056182,-0.04325079820995811,0.18431068342729134,-0.007041717229859951,-0.12853862227155224,10.1021/ja0631652
25,CCOC(=O)c1c(C)[nH]c2ccccc12,0,0.0,10,-0.10153079984397838,0.00517393924628462,-0.4257118029202835,-0.3865768070546417,-0.18887620106228867,10.1021/ja0631652
26,CCOC(=O)c1c(C)[nH]c2ccccc12,1,0.0,10,-0.23815556326663004,0.7788028774026439,0.27907457677775693,-0.07530116591064503,-0.018847867264176046,10.1021/ja0631652
27,CCOC(=O)c1c(C)[nH]c2ccccc12,7,0.0,10,-0.47997088351765105,0.050422221367378874,-0.3773661556347069,-0.21763605632995045,-0.02110435306428122,10.1021/ja0631652
28,CCOC(=O)c1c(C)[nH]c2ccccc12,10,100.0,10,0.17528003788886354,-0.04318597259087343,0.18431068342729134,-0.0070601806998845254,-0.127944698178883,10.1021/ja0631652
