,C_spX,Buried_Volume_C_MMFF,Bmin_cc1_min,V_occ_avg,Local_Electrophilicity_C,L_ch1_avg,Buried_Volume_H_max,gas_charge_H_max,Bmax_2.0_avg,Bmax_2.0_min,Buried_Volume_H_max_MFF,gas_charge_C,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,-0.5952380952380952,-0.3564884150157878,-0.025530548419524075,-0.3946084606601262,-0.3899751550379341,-0.16955307746175394,-0.24225912031628605,-0.3224352208451149,-0.20169862098727,-0.25064304120258496,-0.26535082947058997,0.28457235750117893,Cc1nc2ccccc2o1,0,0.0,7,10.1021/ja412563e
1,0.40476190476190477,0.0026748180179445185,-0.12294131627958929,-0.3945707864772782,0.3401166963145559,-0.16955307746175394,-0.12902185083440496,0.1876836355634941,-0.3287664218819384,-0.25186937056601366,-0.12856893757253038,-0.007337405237055202,Cc1nc2ccccc2o1,4,0.0,7,10.1021/ja412563e
2,0.40476190476190477,-0.05058170526955978,-0.12294131627958929,-0.3945777572765998,0.013833726735049668,-0.16955307746175394,-0.17186740715394885,0.1499386949916986,-0.327844874963041,-0.25094782364711615,-0.1854775070740607,-0.18489477590994513,Cc1nc2ccccc2o1,5,0.0,7,10.1021/ja412563e
3,0.40476190476190477,-0.05053926538197018,-0.12294131627958929,-0.39455833862134665,0.21666510787602883,-0.16955307746175394,-0.17175671162413236,0.1509023956020422,-0.327844874963041,-0.25094782364711615,-0.1849754621283602,-0.17555988676175371,Cc1nc2ccccc2o1,6,0.0,7,10.1021/ja412563e
4,0.40476190476190477,-0.0036542608704256815,-0.12294131627958929,-0.39458522599015877,0.302786284247479,-0.16955307746175394,-0.13277911256759894,0.2133823185059934,-0.327844874963041,-0.25094782364711615,-0.1328667465773911,0.09301265310600192,Cc1nc2ccccc2o1,7,100.0,7,10.1021/ja412563e
5,-0.5952380952380952,-0.356466272465741,0.0002744954919618261,-0.3217968046869976,-0.41011503874906585,-0.16955307746175394,-0.24202495669552035,-0.3224352208451149,-0.2012611261869705,-0.25064304120258496,-0.2657641290976061,0.28457235750117893,Cc1nc2cc(Br)ccc2o1,0,0.0,8,10.1021/ja412563e
6,0.40476190476190477,0.11883832598833992,-0.023207694445670977,-0.32178020621798437,0.41393484749008463,-0.16955307746175394,-0.00030210849953816505,0.2069576477703686,-0.0844277757879534,-0.007530724472028651,0.022270212805144105,0.08516875319675782,Cc1nc2cc(Br)ccc2o1,4,0.0,8,10.1021/ja412563e
7,0.40476190476190477,0.06603387976429051,-0.12294131627958929,-0.32173141062273286,0.1977892336028342,-0.16955307746175394,-0.035113723866632265,0.1700157910405261,-0.0680747977194902,0.008822253596434548,-0.028157412851887997,-0.08292407708977141,Cc1nc2cc(Br)ccc2o1,7,0.0,8,10.1021/ja412563e
8,0.40476190476190477,-0.0004841857887288813,-0.12294131627958929,-0.32179613947357666,0.4085417405548861,-0.16955307746175394,-0.13243212465682797,0.2140247855795558,-0.3287664218819384,-0.25186937056601366,-0.13323440575479809,0.10027312244348413,Cc1nc2cc(Br)ccc2o1,8,100.0,8,10.1021/ja412563e
9,-0.5952380952380952,-0.3600127708982329,-0.018106507108179876,-0.38600699221145773,-0.3818854946351363,-0.16955307746175394,-0.24159068961700947,-0.3508643888502545,-0.1959478322327022,-0.25064304120258496,-0.2717886684460127,0.16263536800292921,Cc1nc2ccccc2[nH]1,0,0.0,6,10.1021/ja412563e
10,0.40476190476190477,0.006317267500639119,-0.12294131627958929,-0.38601562405267487,0.3276451365269094,-0.16955307746175394,-0.12564989469537985,0.18655931818476,-0.327844874963041,-0.25094782364711615,-0.12403531957802261,-0.018746714195955704,Cc1nc2ccccc2[nH]1,4,0.0,6,10.1021/ja412563e
11,0.40476190476190477,-0.05196930507249118,-0.12294131627958929,-0.3859967033116589,0.015856141835749068,-0.16955307746175394,-0.17204196548942877,0.1499386949916986,-0.3260334593005831,-0.24913640798465833,-0.18621789658994228,-0.18573750895804572,Cc1nc2ccccc2[nH]1,5,0.0,6,10.1021/ja412563e
12,0.40476190476190477,-0.05107622222060458,-0.12294131627958929,-0.38598574919843925,0.17293038132340394,-0.16955307746175394,-0.17274871387210317,0.1499386949916986,-0.327844874963041,-0.25094782364711615,-0.18516816624893198,-0.18619128829163842,Cc1nc2ccccc2[nH]1,6,100.0,6,10.1021/ja412563e
13,0.40476190476190477,-0.0038904480709245812,-0.12294131627958929,-0.38608981327402664,0.2952864949157187,-0.16955307746175394,-0.13298985982628805,0.1852743840376349,-0.1379661319786369,-0.06106908066271205,-0.13742825595777128,-0.03261939668007341,Cc1nc2ccccc2[nH]1,7,0.0,6,10.1021/ja412563e
14,-0.5952380952380952,-0.3466866461950815,-0.009298753958008076,-0.32778339087744585,-0.40362645696765515,-0.15729822452057743,-0.22631683526252405,-0.3778480059398788,-0.1556331943558439,-0.25064304120258496,-0.2541587769942153,0.04497686936426721,Cc1cc2c(Cl)ccnc2[nH]1,0,0.0,6,10.1021/ja412563e
15,0.40476190476190477,0.10931702946822612,-0.031090397138545174,-0.3277661311783254,0.059000997317336656,-0.09602366569704801,0.025062069149757032,0.1913778212364785,-0.017935125764594786,0.058961925551329945,0.054593793450550904,0.004590508674522601,Cc1cc2c(Cl)ccnc2[nH]1,2,0.0,6,10.1021/ja412563e
