,Bmax_2.0_avg,Bmax_2.0_min,Bmax_4.5_min,Bmin_2.0_avg,Bmin_3.0_avg,Bmin_3.0_min,Bmin_3.5_avg,Bmin_3.5_min,Bmin_4.0_avg,Bmin_4.0_min,S_bur_2.0_avg,V_occ_avg,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,-0.2016986209872699,-0.250643041202585,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.3455718392241646,-0.39460846066012634,Cc1nc2ccccc2o1,0,0.0,7,10.1021/ja412563e
1,-0.32876642188193833,-0.2518693705660137,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.03489455823606205,-0.3945707864772783,Cc1nc2ccccc2o1,4,0.0,7,10.1021/ja412563e
2,-0.3278448749630409,-0.25094782364711626,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.02748026892858929,-0.39457775727659994,Cc1nc2ccccc2o1,5,0.0,7,10.1021/ja412563e
3,-0.3278448749630409,-0.25094782364711626,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.027715821662401895,-0.39455833862134676,Cc1nc2ccccc2o1,6,0.0,7,10.1021/ja412563e
4,-0.3278448749630409,-0.25094782364711626,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.03708213532849325,-0.3945852259901588,Cc1nc2ccccc2o1,7,100.0,7,10.1021/ja412563e
5,-0.2012611261869704,-0.250643041202585,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.3453603627112019,-0.32179680468699773,Cc1nc2cc(Br)ccc2o1,0,0.0,8,10.1021/ja412563e
6,-0.08442777578795337,-0.0075307244720287025,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,0.016398673741141765,-0.3217802062179844,Cc1nc2cc(Br)ccc2o1,4,0.0,8,10.1021/ja412563e
7,-0.06807479771949014,0.008822253596434515,-0.08301052075935557,-0.02220271493902419,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,0.02473540211661742,-0.32173141062273297,Cc1nc2cc(Br)ccc2o1,7,0.0,8,10.1021/ja412563e
8,-0.32876642188193833,-0.2518693705660137,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.036740703541586206,-0.3217961394735767,Cc1nc2cc(Br)ccc2o1,8,100.0,8,10.1021/ja412563e
9,-0.19594783223270215,-0.250643041202585,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.3462345487684956,-0.3860069922114578,Cc1nc2ccccc2[nH]1,0,0.0,6,10.1021/ja412563e
10,-0.3278448749630409,-0.25094782364711626,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.03113591219261279,-0.3860156240526749,Cc1nc2ccccc2[nH]1,4,0.0,6,10.1021/ja412563e
11,-0.32603345930058303,-0.2491364079846584,-0.08301052075935557,-0.02220271493902419,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.02772825199196358,-0.38599670331165903,Cc1nc2ccccc2[nH]1,5,0.0,6,10.1021/ja412563e
12,-0.3278448749630409,-0.25094782364711626,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.02895909598418719,-0.3859857491984393,Cc1nc2ccccc2[nH]1,6,100.0,6,10.1021/ja412563e
13,-0.1379661319786368,-0.06106908066271214,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.03736057068791334,-0.3860898132740267,Cc1nc2ccccc2[nH]1,7,0.0,6,10.1021/ja412563e
14,-0.15563319435584386,-0.250643041202585,-0.08301052075935557,-0.035272174662226846,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.3384185063822785,-0.32778339087744596,Cc1cc2c(Cl)ccnc2[nH]1,0,0.0,6,10.1021/ja412563e
15,-0.017935125764594714,0.058961925551329945,-0.08301052075935557,0.008145377973344067,-0.019123198749391713,6.082482153897877e-05,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.006814001252705881,-0.32776613117832554,Cc1cc2c(Cl)ccnc2[nH]1,2,0.0,6,10.1021/ja412563e
