,acqf_1-db100-a1,acqf_1-db10-a1,acqf_1-db1-a1,acqf_1-db0-1-a1,acqf_1-db0-01-a1,acqf_1-db0-001-a1,acqf_1-db1-a2,acqf_1-db1-a1-5,acqf_1-db1-a0-5,acqf_1-db1-a0,acqf_10,acqf_2,acqf_2-1,acqf_3,acqf_4,acqf_4-1,acqf_5,acqf_6,acqf_7,acqf_8,acqf_9,random,SMILES
34,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,15,135,COC(=O)C(C1CCCCC1)N1C(=O)c2ccccc2C1=O
35,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
36,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
37,45,44,37,25,27,28,41,39,38,38,66,29,26,18,16,16,13,32,16,18,10,27,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
38,31,32,32,26,14,11,33,32,29,29,55,77,26,66,17,15,28,13,15,73,14,60,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@H]4[C@@H]3C[C@@H](Br)[C@@]2(Br)C1
39,38,35,38,82,135,135,63,39,40,40,107,135,82,135,135,135,45,83,51,135,47,135,CCCCCCCC(=O)O[C@H]1/C(=C/C(=O)OC)C[C@@]2(C)C[C@@H]([C@@H](C)OC(C)=O)OC(=O)C[C@H](O)C[C@@H]3OCC[C@H](C[C@@H]4CCO[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3
40,135,135,135,135,135,135,135,135,135,135,135,69,135,135,135,135,135,135,135,135,135,135,CC(=O)OC[C@]12CC[C@@H](C(C)(C)O)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
41,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,CC[Si](CC)(CC)O[C@H]1C[C@H](OC(C)=O)[C@]2(C)[C@H](C[C@@H]3C[C@H](OC(C)=O)C(C)=C([C@@H](OC(C)=O)[C@@H]2OC(C)=O)C3(C)C)[C@@]12CO2
42,30,27,27,22,15,15,34,27,24,30,69,72,21,61,31,25,21,12,15,38,12,60,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C(=O)CCC[C@]12C
43,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C
44,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,CC[Si](CC)(CC)O[C@H]1C[C@H](OC(C)=O)[C@]2(C)[C@H](C[C@@H]3C[C@H](OC(C)=O)C(C)=C([C@@H](OC(C)=O)[C@@H]2OC(C)=O)C3(C)C)[C@]12CO2
45,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,CC(=O)O[C@@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1
46,18,18,10,10,10,135,10,10,20,20,20,135,135,135,135,135,135,135,135,135,135,135,COC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C
47,58,46,39,33,14,38,44,39,37,37,38,19,19,135,78,78,36,53,60,135,135,135,COC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C
48,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,CCCCCCCC(=O)O[C@H]1/C(=C/C(=O)OC)C[C@@]2(C)C[C@@H](CO)OC(=O)C[C@H](O)C[C@@H]3OCC[C@H](C[C@@H]4CCO[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3
49,44,45,47,20,11,11,41,47,16,40,39,111,65,98,101,89,12,73,79,107,11,129,CC(=O)O[C@H]1C[C@@H](c2ccccc2)Oc2ccccc21
