,SMILES
0,CCCCCCC
1,CC(C)C(C)C
2,C1CCCCC1
3,CC1CCCCC1
4,C[C@H]1CCCC[C@@H]1C
5,C[C@@H]1CCCC[C@@H]1C
6,C1CC[C@H]2CCCC[C@@H]2C1
7,C1CC[C@H]2CCCC[C@H]2C1
8,C1CC2CCC1C2
9,C1CC2CCC1CC2
10,C1C2CC3CC1CC(C2)C3
11,CCc1ccccc1
12,CC(C)c1ccccc1
13,COc1ccc(C(C)O)cc1
14,Cc1ccc(C(C)O)cc1
15,CC(O)c1ccccc1
16,CC(O)c1ccc(F)cc1
17,CC(O)c1ccc(Cl)cc1
18,CC(O)c1ccc(Br)cc1
19,CC(O)c1ccc(C#N)cc1
20,c1ccc2c(c1)CCOC2
21,CC1Cc2ccccc2CO1
22,c1ccc2c(c1)COC2
23,c1ccc(Cc2ccccc2)cc1
24,c1ccc2c(c1)Cc1ccccc1C2
25,c1ccc2c(c1)Cc1ccccc1O2
26,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
27,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1
28,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@H]4[C@@H]3C[C@@H](Br)[C@@]2(Br)C1
29,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OC(C)=O)CC[C@]4(C)[C@H]3CC[C@]12C
30,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OC(C)=O)CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C
31,CC(=O)O[C@@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](OC(C)=O)CC[C@@H]32)C1
32,CC(=O)O[C@@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1
33,COC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C
34,COC(=O)[C@H](Cc1cnc[nH]1)NC(=O)OC(C)(C)C
35,COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C
36,COC(=O)[C@@H](NC(=O)OC(C)(C)C)[C@@H](C)O
37,COC(=O)[C@H]1CCCN1C(=O)OC(C)(C)C
38,CCOC(=O)[C@H]1CCCN1C(=O)OCc1ccccc1
39,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O
40,COC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)OC(C)(C)C
41,CCOC(=O)[C@H](C)NC(=O)[C@@H](CC(C)C)NC(=O)OC(C)(C)C
42,COC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C
43,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
44,COC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)OC(C)(C)C
45,COC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C
46,COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C
47,COC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C
48,CC(C)[C@]12CC(=O)[C@H](C)[C@H]1C2
49,CCCCCCC(=O)C(=O)OC
50,CCCCCC(=O)C(=O)OC
51,COC(=O)C(=O)CCC1CCCCC1
