,Bmax_2.0_avg,Bmax_2.0_min,Bmax_4.0_min,Bmax_4.5_min,Bmin_2.0_avg,Bmin_3.0_avg,Bmin_3.5_avg,Bmin_4.0_avg,Bmin_4.0_min,Bmin_4.5_min,S_bur_2.0_avg,V_occ_avg,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,-0.18087785949446838,-0.2320238038822509,-0.1136673604570467,-0.09072852212253904,-0.05453594343063429,-0.03917459711992927,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.4223833723170248,-0.30190391185932447,CCCCCCC,0,0.0,1,10.1021/ja00199a039
1,0.010884407066090082,0.07510333279756375,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03740005317940084,-0.019645203290859607,-0.013977847213268306,-0.008671578151964034,-0.007199076292177162,-0.07772395965170038,-0.3018937209131952,CCCCCCC,1,34.74576271186441,1,10.1021/ja00199a039
2,-0.16755596113710935,-0.10236378631495777,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03917459711992927,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.05406546463995053,-0.3018945175787776,CCCCCCC,2,34.74576271186441,1,10.1021/ja00199a039
3,-0.12926041784710537,-0.09934667801688833,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03901822427910963,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.02358534445694519,-0.3019147337645949,CCCCCCC,3,30.508474576271187,1,10.1021/ja00199a039
4,-0.14753993758636977,-0.11002068667835636,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03914054045827837,-0.022538014492225315,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.3265228218368165,-0.32646053093563765,CC(C)C(C)C,0,0.0,1,10.1021/ja00199a039
5,-0.1588050262236002,-0.09322882484247516,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03917459711992927,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,0.24247274837374908,-0.3264713528409081,CC(C)C(C)C,1,100.0,1,10.1021/ja00199a039
6,-0.1329810330821092,-0.11721028507418513,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03669949325910302,-0.02211123091758227,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.3460051171736362,-0.317588663844351,CC1CCCCC1,0,0.0,1,10.1021/ja00199a039
7,-0.2984400859342352,-0.23286388455311016,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03917459711992927,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,0.2039164658031249,-0.3176026724119508,CC1CCCCC1,1,95.74468085106383,1,10.1021/ja00199a039
8,-0.1510541701482722,-0.08772475373786558,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03917459711992927,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.022251498711151153,-0.3175967962066155,CC1CCCCC1,2,0.0,1,10.1021/ja00199a039
9,-0.1970565584085653,-0.23305969011421512,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.039102646426300604,-0.022149551273756205,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.06777204744369535,-0.3175861416011173,CC1CCCCC1,3,4.25531914893617,1,10.1021/ja00199a039
10,-0.29863589149534014,-0.23305969011421512,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03917459711992927,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.10144362117183783,-0.3175967962066155,CC1CCCCC1,4,0.0,1,10.1021/ja00199a039
11,-0.11079525689338626,-0.11625504287173528,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.034963802693134066,-0.022568570593226752,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.32078365326016933,-0.29353421017121384,C[C@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
12,-0.1535554765505929,-0.08797927516946787,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03917459711992927,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,0.2594765698596582,-0.2935507409820473,C[C@H]1CCCC[C@@H]1C,1,90.0,1,10.1021/ja00199a039
13,-0.1420161053408107,-0.08893255673652325,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03917459711992927,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.015167273416776107,-0.2935332143392359,C[C@H]1CCCC[C@@H]1C,2,5.5,1,10.1021/ja00199a039
14,-0.17861585380160874,-0.23305969011421512,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03876951471479986,-0.022602382672203755,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.06784574182334746,-0.2935395876638946,C[C@H]1CCCC[C@@H]1C,3,4.5,1,10.1021/ja00199a039
15,-0.13770740267880446,-0.1062352672839987,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03907722384788514,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.31610325441780013,-0.293527438513764,C[C@@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
16,-0.16735448005249412,-0.10177827867136906,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03917459711992927,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,0.2643164521420272,-0.29354098182866367,C[C@@H]1CCCC[C@@H]1C,1,100.0,1,10.1021/ja00199a039
17,-0.1327137159247746,-0.10061288731203373,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03730939530542871,-0.018149206641010485,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,0.0026417626993786307,-0.2935283339658785,C[C@@H]1CCCC[C@@H]1C,2,0.0,1,10.1021/ja00199a039
18,-0.23388549482784243,-0.23305969011421512,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03917459711992927,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.08862816335204549,-0.2935377951663343,C[C@@H]1CCCC[C@@H]1C,3,0.0,1,10.1021/ja00199a039
19,-0.14913563681912154,-0.23305969011421512,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03376726265808928,-0.021517641086652686,-0.013735170595687967,-0.008671578151964034,-0.007199076292177162,-0.06555587914631741,-0.2605561380105615,C1CC[C@H]2CCCC[C@@H]2C1,0,9.63855421686747,3,10.1021/ja00199a039
20,-0.12024629342972366,-0.10186965459988472,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03917459711992927,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.039193166014174836,-0.26057047799104355,C1CC[C@H]2CCCC[C@@H]2C1,2,10.843373493975903,3,10.1021/ja00199a039
21,-0.11610734051634332,-0.05053113913521827,-0.1136673604570467,-0.09072852212253904,0.03410524045749964,-0.038660869167420564,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,0.3241339184585581,-0.2605558400576337,C1CC[C@H]2CCCC[C@@H]2C1,3,79.51807228915662,3,10.1021/ja00199a039
22,-0.14932767589644239,-0.2320238038822509,-0.1136673604570467,-0.09072852212253904,-0.0529045301377151,-0.03856709343005787,-0.022521484142503226,-0.01159152714039498,-0.008671578151964034,-0.007199076292177162,-0.05910392147929407,-0.26052944971355324,C1CC[C@H]2CCCC[C@H]2C1,0,0.7342143906020557,3,10.1021/ja00199a039
23,-0.12327707457988607,-0.10496647820543954,-0.1136673604570467,-0.09072852212253904,-0.057235529415718585,-0.036364442862438846,-0.019799486554932445,-0.015849505280741787,-0.008671578151964034,-0.007199076292177162,0.026858293802522148,-0.2605178980626094,C1CC[C@H]2CCCC[C@H]2C1,2,0.978952520802741,3,10.1021/ja00199a039
24,-0.1662798970693234,-0.10070369568819834,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03917459711992927,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,0.2845411494765414,-0.2605341309205151,C1CC[C@H]2CCCC[C@H]2C1,3,98.2868330885952,3,10.1021/ja00199a039
25,-0.18590554779389168,-0.13278681094384043,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03917459711992927,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,-0.08693882409744763,-0.3306588263080605,C1CC2CCC1C2,0,100.0,0,10.1021/ja00199a039
26,-0.29863589149534014,-0.23305969011421512,-0.1136673604570467,-0.09072852212253904,-0.05779828002899915,-0.03917459711992927,-0.022848083779436635,-0.01618010820903964,-0.008671578151964034,-0.007199076292177162,0.13284306237158688,-0.33066002130643396,C1CC2CCC1C2,2,0.0,0,10.1021/ja00199a039
