,C_n_charge_avg,gas_charge_C,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,S_bur_2.0_avg,L_cc1_min,Pyramidalization_H_max,num_O,Pyramidalization_H_max_MFF,gas_charge_H_max,dual_H_max,charge_C,Bmax_2.0_min,Buried_Volume_C,Bmin_3.0_avg,Bmax_2.0_avg,Bmin_2.0_avg,Local_Nucleophilicity_H_max,V_occ_avg,num_H,num_C,Pyramidalization_C_MFF,L_ch1_avg,bde_avg,n_Csp3,C_charge,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
18,-0.13859,-0.05303,0.45634,0.448984,56.097879,4.15,1.656406,0,1.649807,0.02666,0.01258,-0.05468,0.986154,0.45802,0.0,2.241112,0.95,0.067227,121.524875,2,2,0.794212,2.675,96.77513122558594,2,-0.137146,C[C@@H]1CCCC[C@@H]1C,3,0.0,1,10.1021/ja00199a039
19,-0.152964,-0.05302,0.433651,0.410728,57.429411,4.25,1.659055,0,1.647055,0.02666,0.015081,-0.05492,0.986154,0.42899,0.022546,3.883689,0.95,0.068049,142.224688,2,2,0.796079,2.15,97.40453338623048,2,-0.148993,C1CC[C@H]2CCCC[C@@H]2C1,0,9.63855421686747,3,10.1021/ja00199a039
20,-0.100969,-0.05018,0.486227,0.436988,58.950838,4.25,1.653829,0,1.64611,0.02695,0.011312,-0.05799,3.52881,0.48717,0.0,4.443607,0.95,0.066129,142.215688,2,2,0.807277,2.15,97.13978576660156,2,-0.153384,C1CC[C@H]2CCCC[C@@H]2C1,2,10.843373493975903,3,10.1021/ja00199a039
21,-0.119951,-0.03858,0.651323,0.542886,79.918924,4.0,1.598303,0,1.585753,0.03055,0.011811,-0.02015,4.523826,0.65218,0.002142,4.523826,1.325126,0.051515,142.224875,1,3,0.77384,2.75,95.7921905517578,3,-0.056407,C1CC[C@H]2CCCC[C@@H]2C1,3,79.51807228915662,3,10.1021/ja00199a039
22,-0.131636,-0.05302,0.426423,0.370242,57.801762,4.6,1.653267,0,1.641983,0.02666,-0.000701,-0.05406,1.006231,0.4384,0.002533,3.879967,0.969975,0.065893,142.241438,2,2,0.804147,2.45,97.6512680053711,2,-0.131527,C1CC[C@H]2CCCC[C@H]2C1,0,0.7342143906020557,3,10.1021/ja00199a039
23,-0.097865,-0.05018,0.489191,0.468342,62.762755,4.05,1.657549,0,1.649327,0.02695,-0.005745,-0.05765,3.468789,0.52587,0.011717,4.384866,0.952297,0.071074,142.248688,2,2,0.795415,2.45,97.13282012939452,2,-0.154094,C1CC[C@H]2CCCC[C@H]2C1,2,0.978952520802741,3,10.1021/ja00199a039
24,-0.11966,-0.03858,0.644975,0.524722,77.633973,4.2,1.59416,0,1.584038,0.03055,-0.002544,-0.01963,3.551408,0.65471,0.0,3.551408,0.95,0.083889,142.2385,1,3,0.803917,2.15,94.992919921875,3,-0.056848,C1CC[C@H]2CCCC[C@H]2C1,3,98.2868330885952,3,10.1021/ja00199a039
25,-0.119579,-0.05017,0.449887,0.392425,56.195373,3.95,1.673802,0,1.676032,0.02695,0.013361,-0.05936,2.92959,0.45101,0.0,3.171034,0.95,0.126723,98.227125,2,2,0.749893,2.225,95.83999633789062,2,-0.177106,C1CC2CCC1C2,0,100.0,0,10.1021/ja00199a039
26,-0.174259,-0.04114,0.540382,0.400531,68.879276,3.55,1.667289,0,1.669906,0.03028,0.016569,-0.01514,0.986154,0.53886,0.0,0.986154,0.95,0.061974,98.226375,1,3,0.732705,2.15,105.3545913696289,3,-0.084224,C1CC2CCC1C2,2,0.0,0,10.1021/ja00199a039
27,-0.084679,-0.04759,0.469926,0.39515,56.653154,3.9,1.706599,0,1.709179,0.02722,0.01855,-0.06147,3.551056,0.47071,0.0,3.551232,0.95,0.046592,98.212625,2,2,0.685642,2.15,103.23420715332033,2,-0.194609,C1CC2CCC1C2,6,0.0,0,10.1021/ja00199a039
28,-0.108527,-0.05018,0.476478,0.395791,58.249703,4.2,1.651329,0,1.65082,0.02695,-0.000896,-0.05636,3.347014,0.47556,0.0,3.561131,0.95,0.074708,112.157,2,2,0.790438,2.225,94.84076690673828,2,-0.154391,C1CC2CCC1CC2,0,19.444444444444443,2,10.1021/ja00199a039
29,-0.146515,-0.0414,0.566891,0.413634,72.65177,3.9,1.613978,0,1.619093,0.03027,0.000701,-0.01206,0.989949,0.5698,0.0,0.989949,0.95,0.059403,112.170125,1,3,0.762018,2.15,94.52751922607422,3,-0.073055,C1CC2CCC1CC2,2,80.55555555555556,2,10.1021/ja00199a039
