,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,Buried_Volume_H_mean_MFF,Buried_Volume_H_min_MFF,Pyramidalization_C_MFF,Pyramidalization_H_max_MFF,Pyramidalization_H_mean_MFF,Pyramidalization_H_min_MFF,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
38,0.555319,0.471423,0.471423,0.471423,0.78082,1.586463,1.586463,1.586463,CC(C)c1ccccc1,1,100.0,1,10.1021/ja00199a039
39,0.494246,0.390089,0.390089,0.390089,3e-06,1.999999,1.999999,1.999999,CC(C)c1ccccc1,4,0.0,1,10.1021/ja00199a039
40,0.421071,0.328399,0.328399,0.328399,1e-06,2.0,2.0,2.0,CC(C)c1ccccc1,5,0.0,1,10.1021/ja00199a039
41,0.418637,0.328038,0.328038,0.328038,2e-06,1.999999,1.999999,1.999999,CC(C)c1ccccc1,6,0.0,1,10.1021/ja00199a039
42,0.249668,0.333331,0.308621,0.259871,0.786069,1.705134,1.702857,1.69833,COc1ccc(C(C)O)cc1,0,0.0,6,10.1016/S0040-4039(00)78488-7
43,0.470305,0.364803,0.364803,0.364803,0.001667,1.999298,1.999298,1.999298,COc1ccc(C(C)O)cc1,3,0.0,6,10.1016/S0040-4039(00)78488-7
44,0.524943,0.438356,0.438356,0.438356,0.005151,1.997831,1.997831,1.997831,COc1ccc(C(C)O)cc1,4,0.0,6,10.1016/S0040-4039(00)78488-7
45,0.513197,0.443766,0.443766,0.443766,0.78944,1.609337,1.609337,1.609337,COc1ccc(C(C)O)cc1,6,97.0873786407767,6,10.1016/S0040-4039(00)78488-7
46,0.313275,0.37235,0.342649,0.307131,0.813526,1.690593,1.688476,1.687393,COc1ccc(C(C)O)cc1,7,2.912621359223301,6,10.1016/S0040-4039(00)78488-7
47,0.279707,0.313723,0.313583,0.313502,0.800667,1.697303,1.695397,1.694444,Cc1ccc(C(C)O)cc1,0,0.0,5,10.1016/S0040-4039(00)78488-7
48,0.475127,0.375716,0.375716,0.375716,0.001618,1.999319,1.999319,1.999319,Cc1ccc(C(C)O)cc1,2,0.0,5,10.1016/S0040-4039(00)78488-7
49,0.49109,0.386496,0.386496,0.386496,0.001209,1.999491,1.999491,1.999491,Cc1ccc(C(C)O)cc1,3,0.0,5,10.1016/S0040-4039(00)78488-7
50,0.514315,0.445944,0.445944,0.445944,0.788067,1.596786,1.596786,1.596786,Cc1ccc(C(C)O)cc1,5,98.01980198019803,5,10.1016/S0040-4039(00)78488-7
51,0.312867,0.375361,0.341626,0.307101,0.81373,1.690844,1.688343,1.686942,Cc1ccc(C(C)O)cc1,6,1.9801980198019802,5,10.1016/S0040-4039(00)78488-7
52,0.31335,0.371721,0.342698,0.307457,0.813551,1.69056,1.688463,1.68739,CC(O)c1ccccc1,0,1.9607843137254901,1,10.1016/S0040-4039(00)78488-7
53,0.51354,0.443801,0.443801,0.443801,0.788829,1.609404,1.609404,1.609404,CC(O)c1ccccc1,1,98.03921568627452,1,10.1016/S0040-4039(00)78488-7
54,0.523778,0.437867,0.437867,0.437867,0.005158,1.997827,1.997827,1.997827,CC(O)c1ccccc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
55,0.42488,0.32809,0.32809,0.32809,0.00149,1.999375,1.999375,1.999375,CC(O)c1ccccc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
56,0.418672,0.328253,0.328253,0.328253,0.000759,1.999682,1.999682,1.999682,CC(O)c1ccccc1,6,0.0,1,10.1016/S0040-4039(00)78488-7
57,0.313129,0.37553,0.342022,0.307433,0.813631,1.690854,1.6884,1.687019,CC(O)c1ccc(F)cc1,0,1.9801980198019802,1,10.1016/S0040-4039(00)78488-7
58,0.514192,0.445717,0.445717,0.445717,0.787833,1.5982,1.5982,1.5982,CC(O)c1ccc(F)cc1,1,98.01980198019803,1,10.1016/S0040-4039(00)78488-7
59,0.527179,0.443801,0.443801,0.443801,0.0005,1.99979,1.99979,1.99979,CC(O)c1ccc(F)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
60,0.458949,0.356667,0.356667,0.356667,0.000928,1.999612,1.999612,1.999612,CC(O)c1ccc(F)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
61,0.312919,0.37228,0.342651,0.307125,0.813489,1.690607,1.688496,1.687411,CC(O)c1ccc(Cl)cc1,0,2.912621359223301,1,10.1016/S0040-4039(00)78488-7
62,0.513494,0.443778,0.443778,0.443778,0.790259,1.608966,1.608966,1.608966,CC(O)c1ccc(Cl)cc1,1,97.0873786407767,1,10.1016/S0040-4039(00)78488-7
63,0.497216,0.396297,0.396297,0.396297,0.000889,1.999625,1.999625,1.999625,CC(O)c1ccc(Cl)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
64,0.480048,0.38214,0.38214,0.38214,5.4e-05,1.999977,1.999977,1.999977,CC(O)c1ccc(Cl)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
65,0.312739,0.37521,0.341778,0.307096,0.81364,1.690853,1.688394,1.68701,CC(O)c1ccc(Br)cc1,0,2.9411764705882355,1,10.1016/S0040-4039(00)78488-7
66,0.514146,0.445688,0.445688,0.445688,0.787851,1.597993,1.597993,1.597993,CC(O)c1ccc(Br)cc1,1,97.05882352941177,1,10.1016/S0040-4039(00)78488-7
67,0.528455,0.444081,0.444081,0.444081,0.000551,1.999768,1.999768,1.999768,CC(O)c1ccc(Br)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
