,Bmax_2.0_avg,Bmax_2.0_max,Bmax_2.0_min,Bmax_2.5_avg,Bmax_2.5_max,Bmax_2.5_min,Bmax_3.0_avg,Bmax_3.0_max,Bmax_3.0_min,Bmax_3.5_avg,Bmax_3.5_max,Bmax_3.5_min,Bmax_4.0_avg,Bmax_4.0_max,Bmax_4.0_min,Bmax_4.5_avg,Bmax_4.5_max,Bmax_4.5_min,Bmin_2.0_avg,Bmin_2.0_max,Bmin_2.0_min,Bmin_2.5_avg,Bmin_2.5_max,Bmin_2.5_min,Bmin_3.0_avg,Bmin_3.0_max,Bmin_3.0_min,Bmin_3.5_avg,Bmin_3.5_max,Bmin_3.5_min,Bmin_4.0_avg,Bmin_4.0_max,Bmin_4.0_min,Bmin_4.5_avg,Bmin_4.5_max,Bmin_4.5_min,L_avg,L_max,L_min,S_bur_2.0_avg,S_bur_2.0_max,S_bur_2.0_min,S_bur_2.5_avg,S_bur_2.5_max,S_bur_2.5_min,S_bur_3.0_avg,S_bur_3.0_max,S_bur_3.0_min,S_bur_3.5_avg,S_bur_3.5_max,S_bur_3.5_min,S_bur_4.0_avg,S_bur_4.0_max,S_bur_4.0_min,S_bur_4.5_avg,S_bur_4.5_max,S_bur_4.5_min,V_bur_2.0_avg,V_bur_2.0_max,V_bur_2.0_min,V_bur_2.5_avg,V_bur_2.5_max,V_bur_2.5_min,V_bur_3.0_avg,V_bur_3.0_max,V_bur_3.0_min,V_bur_3.5_avg,V_bur_3.5_max,V_bur_3.5_min,V_bur_4.0_avg,V_bur_4.0_max,V_bur_4.0_min,V_bur_4.5_avg,V_bur_4.5_max,V_bur_4.5_min,V_occ_avg,V_occ_max,V_occ_min,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
868,3.467708,3.467708,3.467708,0.583095,0.583095,0.583095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852,0.9852,0.9852,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.660249,53.660249,53.660249,39.692791,39.692791,39.692791,30.006863,30.006863,30.006863,22.266724,22.266724,22.266724,14.458887,14.458887,14.458887,9.118814,9.118814,9.118814,85.106462,85.106462,85.106462,65.553358,65.553358,65.553358,52.649155,52.649155,52.649155,42.677436,42.677436,42.677436,34.72916,34.72916,34.72916,27.666533,27.666533,27.666533,257.03775,257.03775,257.03775,Cc1ccc(S(=O)(=O)OC2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)cc1,2,0.0,12,10.1021/ol000017m
869,9.406514,9.406514,9.406514,9.358552,9.358552,9.358552,9.102198,9.102198,9.102198,8.676549,8.676549,8.676549,8.336816,8.336816,8.336816,8.329766,8.329766,8.329766,0.95,0.95,0.95,0.45,0.45,0.45,0.02956,0.02956,0.02956,0.015207,0.015207,0.015207,0.079461,0.079461,0.079461,0.008707,0.008707,0.008707,4.85,4.85,4.85,55.257771,55.257771,55.257771,43.028319,43.028319,43.028319,34.351773,34.351773,34.351773,27.912237,27.912237,27.912237,22.143156,22.143156,22.143156,15.128236,15.128236,15.128236,85.493232,85.493232,85.493232,67.000998,67.000998,67.000998,55.132746,55.132746,55.132746,46.056162,46.056162,46.056162,39.220984,39.220984,39.220984,32.999616,32.999616,32.999616,257.02975,257.02975,257.02975,Cc1ccc(S(=O)(=O)OC2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)cc1,3,0.0,12,10.1021/ol000017m
870,9.201223,9.201223,9.201223,6.975851,6.975851,6.975851,6.880589,6.880589,6.880589,6.625896,6.625896,6.625896,0.0,0.0,0.0,0.0,0.0,0.0,2.569935,2.569935,2.569935,2.035902,2.035902,2.035902,0.036363,0.036363,0.036363,0.012443,0.012443,0.012443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.891339,80.891339,80.891339,68.663713,68.663713,68.663713,57.547701,57.547701,57.547701,44.317107,44.317107,44.317107,30.362127,30.362127,30.362127,15.986106,15.986106,15.986106,94.882665,94.882665,94.882665,84.591081,84.591081,84.591081,75.735273,75.735273,75.735273,66.451783,66.451783,66.451783,57.001128,57.001128,57.001128,46.748816,46.748816,46.748816,257.056375,257.056375,257.056375,Cc1ccc(S(=O)(=O)OC2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)cc1,9,0.0,12,10.1021/ol000017m
871,10.359778,10.359778,10.359778,10.307764,10.307764,10.307764,10.104454,10.104454,10.104454,10.050498,10.050498,10.050498,9.603255,9.603255,9.603255,0.0,0.0,0.0,0.95,0.95,0.95,0.5,0.5,0.5,0.006533,0.006533,0.006533,0.009936,0.009936,0.009936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.636148,79.636148,79.636148,69.828825,69.828825,69.828825,56.220356,56.220356,56.220356,38.534417,38.534417,38.534417,27.585847,27.585847,27.585847,12.646623,12.646623,12.646623,94.065071,94.065071,94.065071,84.235957,84.235957,84.235957,76.082917,76.082917,76.082917,64.763257,64.763257,64.763257,54.539924,54.539924,54.539924,44.232261,44.232261,44.232261,257.057,257.057,257.057,Cc1ccc(S(=O)(=O)OC2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)cc1,10,0.0,12,10.1021/ol000017m
872,7.523203,11.547835,3.498571,6.190799,9.397473,2.984125,4.662684,9.325369,0.0,4.525829,9.051657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.494975,0.494975,0.494975,0.008031,0.016062,0.0,0.016683,0.033367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.623397,60.641422,60.605371,49.025755,49.03642,49.01509,42.592041,42.593524,42.590557,33.254564,33.258539,33.250589,23.708981,23.720626,23.697336,14.567096,14.569436,14.564756,88.19789,88.205525,88.190256,70.670508,70.670612,70.670405,60.458604,60.460751,60.456457,52.013523,52.016,52.011046,44.327418,44.329768,44.325067,36.761423,36.762245,36.760601,257.045438,257.06025,257.030625,Cc1ccc(S(=O)(=O)OC2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)cc1,11,0.0,12,10.1021/ol000017m
873,0.989949,0.989949,0.989949,0.522015,0.522015,0.522015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.494975,0.494975,0.494975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.965116,72.965116,72.965116,58.586966,58.586966,58.586966,42.306971,42.306971,42.306971,24.966544,24.966544,24.966544,18.937144,18.937144,18.937144,8.938486,8.938486,8.938486,92.393882,92.393882,92.393882,78.792292,78.792292,78.792292,67.608042,67.608042,67.608042,54.031509,54.031509,54.031509,43.640355,43.640355,43.640355,34.727625,34.727625,34.727625,257.055375,257.055375,257.055375,Cc1ccc(S(=O)(=O)OC2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)cc1,12,100.0,12,10.1021/ol000017m
874,3.509272,3.512834,3.50571,3.023374,3.064719,2.98203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969975,0.989949,0.95,0.538493,0.582011,0.494975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.62334,60.637098,60.609582,48.992428,48.995801,48.989055,41.368916,41.371769,41.366062,29.140183,29.147717,29.132649,17.930203,17.937969,17.922437,8.630534,8.631396,8.629672,88.223793,88.230351,88.217235,70.665561,70.668978,70.662143,60.3328,60.333045,60.332555,50.928117,50.930764,50.925469,41.944031,41.945544,41.942519,33.216692,33.217549,33.215835,257.054125,257.06425,257.044,Cc1ccc(S(=O)(=O)OC2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)cc1,13,0.0,12,10.1021/ol000017m
875,3.764638,3.764638,3.764638,3.559846,3.559846,3.559846,3.026962,3.026962,3.026962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.252132,1.252132,1.252132,0.85505,0.85505,0.85505,0.017239,0.017239,0.017239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.604113,80.604113,80.604113,66.658933,66.658933,66.658933,53.035965,53.035965,53.035965,37.377846,37.377846,37.377846,21.728471,21.728471,21.728471,8.926907,8.926907,8.926907,94.955871,94.955871,94.955871,84.095666,84.095666,84.095666,74.08731,74.08731,74.08731,63.280679,63.280679,63.280679,52.254684,52.254684,52.254684,41.012288,41.012288,41.012288,164.65625,164.65625,164.65625,O=[N+]([O-])OC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,4,0.0,7,10.1021/ol000017m
876,5.662597,5.662597,5.662597,5.03612,5.03612,5.03612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.494975,0.494975,0.494975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.221475,75.221475,75.221475,61.827185,61.827185,61.827185,47.106393,47.106393,47.106393,31.58657,31.58657,31.58657,24.097541,24.097541,24.097541,10.682654,10.682654,10.682654,92.998726,92.998726,92.998726,80.519766,80.519766,80.519766,70.134589,70.134589,70.134589,57.962294,57.962294,57.962294,48.28972,48.28972,48.28972,39.044502,39.044502,39.044502,164.64525,164.64525,164.64525,O=[N+]([O-])OC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,5,0.0,7,10.1021/ol000017m
877,4.850907,6.201814,3.5,4.497667,6.041523,2.953811,2.809471,5.618941,0.0,2.584207,5.168414,0.0,2.572086,5.144171,0.0,2.472473,4.944947,0.0,0.95,0.95,0.95,0.494975,0.494975,0.494975,0.019308,0.038615,0.0,0.019308,0.038615,0.0,0.015208,0.030415,0.0,0.008883,0.017767,0.0,2.35,4.7,0.0,62.320815,62.337893,62.303737,51.252026,51.252193,51.251859,43.713577,43.716813,43.710341,31.501866,31.502701,31.50103,21.241981,21.245334,21.238627,11.925929,11.926092,11.925766,88.728949,88.736708,88.72119,71.947978,71.949061,71.946896,62.050789,62.053942,62.047637,52.884392,52.885784,52.882999,44.131421,44.132383,44.130459,35.851368,35.853546,35.84919,164.653,164.662,164.644,O=[N+]([O-])OC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,6,0.0,7,10.1021/ol000017m
