,Buried_Volume_C,Buried_Volume_H_max,Buried_Volume_H_mean,Buried_Volume_H_min,Local_Electrophilicity_C,Local_Electrophilicity_H_max,Local_Electrophilicity_H_mean,Local_Electrophilicity_H_min,Local_Nucleophilicity_C,Local_Nucleophilicity_H_max,Local_Nucleophilicity_H_mean,Local_Nucleophilicity_H_min,Nucleophilicity_C,Nucleophilicity_H_max,Nucleophilicity_H_mean,Nucleophilicity_H_min,Pyramidalization_C,Pyramidalization_H_max,Pyramidalization_H_mean,Pyramidalization_H_min,Radical_C,Radical_H_max,Radical_H_mean,Radical_H_min,charge_C,charge_H_max,charge_H_mean,charge_H_min,dual_C,dual_H_max,dual_H_mean,dual_H_min,electrophilicity_C,electrophilicity_H_max,electrophilicity_H_mean,electrophilicity_H_min,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
12,0.61115,0.535373,0.535373,0.535373,0.00556,0.02108,0.02108,0.02108,0.01041,0.08559,0.08559,0.08559,0.01041,0.08559,0.08559,0.08559,0.76388,1.608469,1.608469,1.608469,0.01952,0.083352,0.083352,0.083352,-0.01743,0.028752,0.028752,0.028752,0.01822,-0.004476,-0.004476,-0.004476,0.02863,0.081114,0.081114,0.081114,C[C@H]1CCCC[C@@H]1C,1,90.0,1,10.1021/ja00199a039
13,0.48242,0.425148,0.414994,0.404841,-0.00275,0.019743,0.019037,0.01833,-0.01667,0.087497,0.075348,0.063199,-0.01667,0.087497,0.075348,0.063199,0.79012,1.65105,1.648371,1.645692,-0.012,0.079555,0.074878,0.070201,-0.06058,0.029571,0.027514,0.025457,0.00934,0.014003,-0.000941,-0.015884,-0.00733,0.077202,0.074407,0.071613,C[C@H]1CCCC[C@@H]1C,2,5.5,1,10.1021/ja00199a039
14,0.43633,0.42025,0.384455,0.348659,-0.0016,0.016956,0.016323,0.01569,-0.01279,0.085918,0.076521,0.067124,-0.01279,0.085918,0.076521,0.067124,0.78571,1.65654,1.654936,1.653332,-0.00761,0.070511,0.066623,0.062735,-0.05507,0.029941,0.027494,0.025047,0.01035,-0.008778,-0.019796,-0.030814,-0.00244,0.058346,0.056725,0.055104,C[C@H]1CCCC[C@@H]1C,3,4.5,1,10.1021/ja00199a039
15,0.3759,0.450394,0.393533,0.349632,-0.00384,0.013736,0.012359,0.011518,-0.02303,0.062704,0.057731,0.051397,-0.02303,0.062704,0.057731,0.051397,0.80471,1.693433,1.693294,1.693212,-0.01684,0.055539,0.050887,0.04694,-0.1029,0.036649,0.033352,0.029946,0.01238,-0.007107,-0.013689,-0.025044,-0.01065,0.051985,0.044043,0.03766,C[C@@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
16,0.60231,0.465943,0.465943,0.465943,0.00244,0.023318,0.023318,0.023318,0.00867,0.108134,0.108134,0.108134,0.00867,0.108134,0.108134,0.108134,0.79017,1.592928,1.592928,1.592928,0.00951,0.095851,0.095851,0.095851,-0.01572,0.021615,0.021615,0.021615,0.00168,-0.024566,-0.024566,-0.024566,0.01035,0.083568,0.083568,0.083568,C[C@@H]1CCCC[C@@H]1C,1,100.0,1,10.1021/ja00199a039
17,0.48308,0.419674,0.407546,0.395418,-0.00224,0.016243,0.016087,0.015931,-0.0053,0.073979,0.062328,0.050678,-0.0053,0.073979,0.062328,0.050678,0.79082,1.653184,1.652227,1.651271,-0.00819,0.065507,0.063662,0.061817,-0.05802,0.026525,0.02648,0.026434,-0.00578,0.022278,0.002667,-0.016943,-0.01108,0.072956,0.064996,0.057036,C[C@@H]1CCCC[C@@H]1C,2,0.0,1,10.1021/ja00199a039
18,0.45802,0.456497,0.405408,0.35432,-0.0026,0.018878,0.01709,0.015303,-0.00152,0.067227,0.060686,0.054145,-0.00152,0.067227,0.060686,0.054145,0.78212,1.656406,1.65631,1.656214,-0.00856,0.073517,0.066521,0.059525,-0.05468,0.032992,0.028405,0.023818,-0.01407,0.01258,0.011671,0.010761,-0.0156,0.079807,0.072357,0.064906,C[C@@H]1CCCC[C@@H]1C,3,0.0,1,10.1021/ja00199a039
19,0.42899,0.410967,0.37875,0.346534,-0.00244,0.018511,0.015455,0.012399,-0.00424,0.068049,0.052033,0.036016,-0.00424,0.068049,0.052033,0.036016,0.77808,1.659055,1.65899,1.658924,-0.00798,0.068081,0.055819,0.043557,-0.05492,0.029855,0.027638,0.025421,-0.00747,0.015081,0.007573,6.5e-05,-0.01171,0.068114,0.059605,0.051097,C1CC[C@H]2CCCC[C@@H]2C1,0,9.63855421686747,3,10.1021/ja00199a039
20,0.48717,0.460364,0.427675,0.394987,-0.00044,0.015208,0.014211,0.013214,-0.00484,0.066129,0.053771,0.041413,-0.00484,0.066129,0.053771,0.041413,0.78632,1.653829,1.652883,1.651937,-0.0023,0.058119,0.052594,0.047069,-0.05799,0.029021,0.02706,0.025099,0.00508,0.011312,-0.002353,-0.016019,0.00024,0.052725,0.051418,0.05011,C1CC[C@H]2CCCC[C@@H]2C1,2,10.843373493975903,3,10.1021/ja00199a039
21,0.65218,0.562069,0.562069,0.562069,0.00469,0.016047,0.016047,0.016047,0.01351,0.051515,0.051515,0.051515,0.01351,0.051515,0.051515,0.051515,0.78483,1.598303,1.598303,1.598303,0.01646,0.05742,0.05742,0.05742,-0.02015,0.029264,0.029264,0.029264,0.00589,0.011811,0.011811,0.011811,0.01941,0.063325,0.063325,0.063325,C1CC[C@H]2CCCC[C@@H]2C1,3,79.51807228915662,3,10.1021/ja00199a039
