,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,bde_avg,gas_charge_C,gas_charge_H_max,Buried_Volume_C,Buried_Volume_H_max,DOI
45,COc1ccc(C(C)O)cc1,6,97.0873786407767,6,82.55333709716797,0.07615,0.06493,0.51256,0.442811,10.1016/S0040-4039(00)78488-7
46,COc1ccc(C(C)O)cc1,7,2.912621359223301,6,101.62448120117188,-0.03469,0.02603,0.31637,0.382856,10.1016/S0040-4039(00)78488-7
47,Cc1ccc(C(C)O)cc1,0,0.0,5,89.3666763305664,-0.03977,0.02796,0.27898,0.314102,10.1016/S0040-4039(00)78488-7
48,Cc1ccc(C(C)O)cc1,2,0.0,5,110.8653793334961,-0.05896,0.06256,0.48048,0.377196,10.1016/S0040-4039(00)78488-7
49,Cc1ccc(C(C)O)cc1,3,0.0,5,110.72583770751953,-0.05619,0.06267,0.52805,0.444279,10.1016/S0040-4039(00)78488-7
50,Cc1ccc(C(C)O)cc1,5,98.01980198019803,5,82.55333709716797,0.07614,0.06493,0.51258,0.442701,10.1016/S0040-4039(00)78488-7
51,Cc1ccc(C(C)O)cc1,6,1.9801980198019802,5,101.62448120117188,-0.03469,0.02603,0.31691,0.382373,10.1016/S0040-4039(00)78488-7
52,CC(O)c1ccccc1,0,1.9607843137254901,1,101.62447357177734,-0.03469,0.02603,0.3171,0.383322,10.1016/S0040-4039(00)78488-7
53,CC(O)c1ccccc1,1,98.03921568627452,1,82.36643981933594,0.07614,0.06493,0.51265,0.44273,10.1016/S0040-4039(00)78488-7
54,CC(O)c1ccccc1,4,0.0,1,110.87873840332031,-0.05646,0.06266,0.52666,0.444389,10.1016/S0040-4039(00)78488-7
55,CC(O)c1ccccc1,5,0.0,1,110.98686218261719,-0.0619,0.06228,0.426,0.32887,10.1016/S0040-4039(00)78488-7
56,CC(O)c1ccccc1,6,0.0,1,111.30487060546875,-0.06225,0.06227,0.41857,0.328643,10.1016/S0040-4039(00)78488-7
57,CC(O)c1ccc(F)cc1,0,1.9801980198019802,1,101.62447357177734,-0.03469,0.02603,0.31468,0.381033,10.1016/S0040-4039(00)78488-7
58,CC(O)c1ccc(F)cc1,1,98.01980198019803,1,82.55330657958984,0.07615,0.06493,0.51484,0.446859,10.1016/S0040-4039(00)78488-7
59,CC(O)c1ccc(F)cc1,4,0.0,1,111.10871124267578,-0.05355,0.06276,0.52811,0.444011,10.1016/S0040-4039(00)78488-7
60,CC(O)c1ccc(F)cc1,5,0.0,1,113.59943389892578,-0.02595,0.06537,0.45887,0.356807,10.1016/S0040-4039(00)78488-7
