,bde_avg,bde_max,bde_min,bdfe_max,bdfe_min,bfde_avg,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
0,100.08565521240234,100.08565521240234,100.08565521240234,91.13446807861328,91.13446807861328,91.13446807861328,CCCCCCC,0,0.0,1,10.1021/ja00199a039
1,97.01032257080078,97.01032257080078,97.01032257080078,87.64635467529297,87.64635467529297,87.64635467529297,CCCCCCC,1,34.74576271186441,1,10.1021/ja00199a039
2,97.24282836914062,97.24282836914062,97.24282836914062,87.81800079345703,87.81800079345703,87.81800079345703,CCCCCCC,2,34.74576271186441,1,10.1021/ja00199a039
3,97.16918182373047,97.16918182373047,97.16918182373047,87.77412414550781,87.77412414550781,87.77412414550781,CCCCCCC,3,30.508474576271187,1,10.1021/ja00199a039
4,99.44882202148438,99.44882202148438,99.44882202148438,90.54524993896484,90.54524993896484,90.54524993896484,CC(C)C(C)C,0,0.0,1,10.1021/ja00199a039
5,95.0269546508789,95.0269546508789,95.0269546508789,85.53450775146484,85.53450775146484,85.53450775146484,CC(C)C(C)C,1,100.0,1,10.1021/ja00199a039
6,100.36318969726562,100.36318969726562,100.36318969726562,91.47789001464844,91.47789001464844,91.4778823852539,CC1CCCCC1,0,0.0,1,10.1021/ja00199a039
7,89.81259155273438,89.81259155273438,89.81259155273438,80.66259765625,80.66259765625,80.66259765625,CC1CCCCC1,1,95.74468085106383,1,10.1021/ja00199a039
8,96.97564697265625,96.97564697265625,96.97564697265625,88.02527618408203,88.02527618408203,88.02527618408203,CC1CCCCC1,2,0.0,1,10.1021/ja00199a039
9,97.17615509033203,97.17615509033203,97.17615509033203,88.23365020751953,88.23365020751953,88.23365020751953,CC1CCCCC1,3,4.25531914893617,1,10.1021/ja00199a039
10,97.43679809570312,97.43679809570312,97.43679809570312,88.5525131225586,88.5525131225586,88.5525131225586,CC1CCCCC1,4,0.0,1,10.1021/ja00199a039
11,99.63928985595703,99.63928985595703,99.63928985595703,90.67650604248047,90.67650604248047,90.67650604248047,C[C@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
12,95.87688446044922,95.87688446044922,95.87688446044922,86.5063705444336,86.5063705444336,86.5063705444336,C[C@H]1CCCC[C@@H]1C,1,90.0,1,10.1021/ja00199a039
13,97.39513397216797,97.39513397216797,97.39513397216797,88.53990936279297,88.53990936279297,88.53990936279297,C[C@H]1CCCC[C@@H]1C,2,5.5,1,10.1021/ja00199a039
14,97.34842681884766,97.34842681884766,97.34842681884766,88.39558410644531,88.39558410644531,88.39558410644531,C[C@H]1CCCC[C@@H]1C,3,4.5,1,10.1021/ja00199a039
15,99.11690521240234,99.11689758300781,99.11689758300781,90.11188507080078,90.11188507080078,90.11188507080078,C[C@@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
16,94.88465118408203,94.88465118408203,94.88465118408203,85.46458435058594,85.46458435058594,85.46458435058594,C[C@@H]1CCCC[C@@H]1C,1,100.0,1,10.1021/ja00199a039
17,97.28028106689453,97.28028106689453,97.28028106689453,88.39468383789062,88.39468383789062,88.39468383789062,C[C@@H]1CCCC[C@@H]1C,2,0.0,1,10.1021/ja00199a039
18,96.77513122558594,96.77513122558594,96.77513122558594,87.84404754638672,87.84404754638672,87.84404754638672,C[C@@H]1CCCC[C@@H]1C,3,0.0,1,10.1021/ja00199a039
19,97.40453338623047,97.40453338623047,97.40453338623047,88.4570541381836,88.4570541381836,88.4570541381836,C1CC[C@H]2CCCC[C@@H]2C1,0,9.63855421686747,3,10.1021/ja00199a039
20,97.13978576660156,97.13978576660156,97.13978576660156,88.14379119873047,88.14379119873047,88.14379119873047,C1CC[C@H]2CCCC[C@@H]2C1,2,10.843373493975903,3,10.1021/ja00199a039
21,95.79219055175781,95.79219055175781,95.79219055175781,86.82390594482422,86.82390594482422,86.82390594482422,C1CC[C@H]2CCCC[C@@H]2C1,3,79.51807228915662,3,10.1021/ja00199a039
22,97.6512680053711,97.6512680053711,97.6512680053711,88.67159271240234,88.67159271240234,88.67159271240234,C1CC[C@H]2CCCC[C@H]2C1,0,0.7342143906020557,3,10.1021/ja00199a039
23,97.13282012939453,97.13282012939453,97.13282012939453,88.16378021240234,88.16378021240234,88.16378021240234,C1CC[C@H]2CCCC[C@H]2C1,2,0.978952520802741,3,10.1021/ja00199a039
24,94.992919921875,94.992919921875,94.992919921875,86.0286636352539,86.0286636352539,86.0286636352539,C1CC[C@H]2CCCC[C@H]2C1,3,98.2868330885952,3,10.1021/ja00199a039
25,95.83999633789062,95.83999633789062,95.83999633789062,87.36498260498047,87.36498260498047,87.36498260498047,C1CC2CCC1C2,0,100.0,0,10.1021/ja00199a039
26,105.3545913696289,105.3545913696289,105.3545913696289,97.04234313964844,97.04234313964844,97.04234313964844,C1CC2CCC1C2,2,0.0,0,10.1021/ja00199a039
27,103.23420715332031,103.23420715332031,103.23420715332031,94.77494049072266,94.77494049072266,94.77494049072266,C1CC2CCC1C2,6,0.0,0,10.1021/ja00199a039
28,94.84076690673828,94.84076690673828,94.84076690673828,85.80101013183594,85.80101013183594,85.80101013183594,C1CC2CCC1CC2,0,19.444444444444443,2,10.1021/ja00199a039
29,94.52751922607422,94.52751922607422,94.52751922607422,86.26445770263672,86.26445770263672,86.26445770263672,C1CC2CCC1CC2,2,80.55555555555556,2,10.1021/ja00199a039
30,98.93982696533203,98.93982696533203,98.93982696533203,89.99736785888672,89.99736785888672,89.99736785888672,C1C2CC3CC1CC(C2)C3,0,93.02325581395348,0,10.1021/ja00199a039
